qstr_{reg1}.0|{reg1}.0
qstr_Rest_Improves_Morale|Rest Improves Morale:
qstr_Insane_Damage:|Insane Damage:
qstr_Gore:|Gore:
qstr_{s4}|{s4}
qstr_You_can_change_diffi|You can change difficult settings.
qstr_Resting_Morale_impac|Resting Morale impact:
qstr_Default|Default
qstr_Randomize|Randomize
qstr_Who_are_you?|Who are you?
qstr_Be_careful_with_your|Be careful with your choices.^They will affect your attributes, skills and dialogs, among other things.
qstr_Bio:|Bio:
qstr_Gender:|Gender:
qstr_Height:|Height:
qstr_Age:|Age:
qstr_Personality:|Personality:
qstr_Greatest_Virtue:|Greatest Virtue:
qstr_Nationality:|Nationality:
qstr_Father_s_Occupation:|Father's Occupation:
qstr_Learnt_While_a_Child|Learnt While a Child:
qstr_Vocation:|Vocation:
qstr_Religion:|Religion:
qstr_Female|Female
qstr_Male|Male
qstr_Tall|Tall
qstr_Short|Short
qstr_Young__16_22_years_o|Young (16-22 years old)
qstr_Adult__23_40_years_o|Adult (23-40 years old)
qstr_Elder__40_or_more_ye|Elder (40 or more years old)
qstr_Sanguine|Sanguine
qstr_Choleric|Choleric
qstr_Melancholic|Melancholic
qstr_Phlegmatic|Phlegmatic
qstr_Justice|Justice
qstr_Temperance|Temperance
qstr_Fortitude|Fortitude
qstr_Wisdom|Wisdom
qstr_Anglo_Saxon|Anglo-Saxon
qstr_Norse|Norse
qstr_Frisian|Frisian
qstr_Irish|Irish
qstr_Briton|Briton
qstr_Scoto_Pict|Scoto-Pict
qstr_Foreigner|Foreigner
qstr_Outlaw|Outlaw
qstr_Peasant|Peasant
qstr_Priest|Priest
qstr_Craftsman|Craftsman
qstr_Merchant|Merchant
qstr_Noble|Noble
qstr_Farming|Farming
qstr_Stealing|Stealing
qstr_Oratory|Oratory
qstr_Crafts|Crafts
qstr_Martial_Arts|Martial Arts
qstr_Slave|Slave
qstr_Traveler|Traveler
qstr_Hunter|Hunter
qstr_Landowner|Landowner
qstr_Christian|Christian
qstr_Pagan|Pagan
qstr_Kingdom_Report|Kingdom Report
qstr_Name:_^{playername}|Name: ^{playername}
qstr_Name_^{playername}|Name ^{playername}
qstr_Level:|Level:
qstr_Health:|Health:
qstr_Renown:|Renown:
qstr_Reputation:|Reputation:
qstr_Ruthless|Ruthless
qstr_Vile|Vile
qstr_Notorious|Notorious
qstr_Unkind|Unkind
qstr_Heroic|Heroic
qstr_Admirable|Admirable
qstr_Kind|Kind
qstr_Current_Silver:|Current Silver:
qstr_Scandinavian_Gods|Scandinavian Gods
qstr_Christianity|Christianity
qstr_Can_read:|Can read:
qstr_Reading:|Reading:
qstr_No_books.|No books.
qstr_Traits:|Traits:
qstr_Scars:|Scars:
qstr_{reg1}|{reg1}
qstr_Wounds:|Wounds:
qstr_Enemies_Killed:|Enemies Killed:
qstr_Enemies_Wounded:|Enemies Wounded:
qstr_Friendly_Killed:|Friendly Killed:
qstr_Friendly_Wounded:|Friendly Wounded:
qstr_Story|Story
qstr_Attributes/Skills|Attributes/Skills
qstr_Wounds|Wounds
qstr_Quest|Quest
qstr_Party_Info|Party Info
qstr_Relations_Info|Relations Info
qstr_Weekly_Budget|Weekly Budget
qstr_Statistics|Statistics
qstr_Companions__Missions|Companions' Missions
qstr_Faction_Relations|Faction Relations
qstr_Known_Lords|Known Lords
qstr_Courtship_Relations|Courtship Relations
qstr_Level:_{reg4}_^Days_|Level: {reg4} ^Days of Adventuring: {reg5}.
qstr_Settlements_Owned_by|Settlements Owned by You: {reg0}
qstr_Hostile_Lords:_{reg0|Hostile Lords: {reg0}
qstr_You_need_to_be_the_r|You need to be the ruler of your faction in order to access your kingdom control panel.
qstr_^^^^Wounds_Informati|^^^^Wounds Information:^^{s3}^^----------^^{s4}^^----------^^{s5}^^----------^^{s6}
qstr_Resume_Traveling|Resume Traveling
qstr_Your_Camp|Your Camp
qstr_You_stop_to_rest.^He|You stop to rest.^Here you can manage your camp's resources.
qstr_Send_Scouts:|Send Scouts:
qstr_^Sending_scouts_ahea|^Sending scouts ahead of the army will increase your chances of spotting enemies. However, these men always move very exposed, so their life expectancy is low.
qstr_Thirty_men_are_neede|Thirty men are needed.
qstr_Send_Foragers:|Send Foragers:
qstr_^Send_men_to_forage_|^Send men to forage as your army travels. They return with extra food every half day.
qstr_Forty_men_are_needed|Forty men are needed.
qstr_Fortify_Camp:|Fortify Camp:
qstr_^Fortify_your_camp_w|^Fortify your camp with basic defences. The men engaged in this difficult work will need a reward of 200 penings, or you could face troubles.
qstr_Sixty_men_are_needed|Sixty men are needed.
qstr_Your_Refuge|Your Refuge
qstr_Wait_Here|Wait Here
qstr_Troop_Tree|Troop Tree
qstr_Quarters|Quarters
qstr_Read_Book|Read Book
qstr_Retire|Retire
qstr_Recruit_Prisoners|Recruit Prisoners
qstr_Game_Options|Game Options
qstr_Followers__Camp|Followers' Camp
qstr_Visit_Camp|Visit Camp
qstr_You_can_not_build_yo|You can not build your Refuge so close to a settlement.
qstr_These_too_close_to_a|These too close to a settlement for camping.
qstr_You_cant_have_more_t|You cant have more then 2 active troop camps
qstr_You_cannot_read._You|You cannot read. You can learn to do so at a monastery.
qstr_No_one_is_interested|No one is interested this time.
qstr_After_you_buy_the_ma|After you buy the materials, your men build a permanent shelter for you.
qstr_Back_to_Siege|Back to Siege
qstr_Your_Siege_Camp|Your Siege Camp
qstr_You_are_besieging_th|You are besieging the enemy.^Here you can manage your camp's resources.
qstr_^Send_men_to_forage_n|^Send men to forage nearby. They return with extra food every half day.
qstr_Your_Sea_Camp|Your Sea Camp
qstr_The_ship_is_at_the_m|The ship is at the mercy of the wind when you stop to rest.^Here you can manage your camp's resources.
qstr_Calm^^The_sails_are_|Calm^^The sails are as flat as the sea.
qstr_Light_breeze^^On_the|Light breeze^^On the sea you notice some small wavelets.^The sails are a little bit swelled.
qstr_Moderate_breeze^^Sma|Moderate breeze^^Small waves with breaking crests are rolling on the sea.^The sails are swelled.
qstr_Strong_breeze^^There|Strong breeze^^There are moderate waves but also bigger waves begin to form.^The sails are completely swelled and need to be reefed soon.
qstr_High_wind^^There_a_m|High wind^^There a many breaking waves visible. The sails are reefed.^There is some chance now that ships will be damaged.
qstr_Gale^^The_sea_is_vio|Gale^^The sea is violent. The sails are almost completely reefed.^There is a high risk of a damaged hull.
qstr_Storm^^Ships_are_tos|Storm^^Ships are tossed about by the waves and threaten to capsize.
qstr_Number_of_Sailors:|Number of Sailors:
qstr_{reg5}|{reg5}
qstr_Speed_by_Sailors:|Speed by Sailors:
qstr_{reg6}|{reg6}
qstr_View_Ship|View Ship
qstr_Followers_Camp|Followers Camp
qstr_Your_army_is_accompa|Your army is accompanied by followers from diverse backgrounds.^^Followers allow you to access important services quickly and provide moral support, but have the disadvantage of making your army advance more slowly.^^You can drive away followers any time, but doing so will have an impact on the morale of your army.^^You can increase the number of your followers with people you meet in your travels, assigning them to groups such as priests, women and others. You may assign troops from your army to the group of followers by talking with them from your army menu.^^If you decide to reduce the size of your army below 300 men or if your army suffers high losses or a serious defeat, followers could, if they have not been destroyed with your army, abandon you.
qstr_Smith|Smith
qstr_Healer|Healer
qstr_Mules|Mules
qstr_Slave_Trader|Slave Trader
qstr_Dismiss|Dismiss
qstr_King:|King:
qstr_King_s_Towns:|King's Towns:
qstr_King_s_Forts:|King's Forts:
qstr_King_s_Villages:|King's Villages:
qstr_Lords:|Lords:
qstr_Caravans:|Caravans:
qstr_Kingdom_Towns:|Kingdom Towns:
qstr_Kingdom_Forts:|Kingdom Forts:
qstr_Kingdom_Villages:|Kingdom Villages:
qstr_Places_without_Lord:|Places without Lord:
qstr_Prisoner_Lords:|Prisoner Lords:
qstr_Minister:|Minister:
qstr_Tax_Enforcement:|Tax Enforcement:
qstr_Yes__costs_3000_peni|Yes (costs 3000 penings/week)
qstr_No__tax_revenue_lowe|No (tax revenue lower)
qstr_King_s_Army_Size:|King's Army Size:
qstr_Royal_Decree|Royal Decree
qstr_Kingdom_Info|Kingdom Info
qstr_Lords|Lords
qstr_Economy|Economy
qstr_Diplomacy|Diplomacy
qstr_Kingdom_Armies|Kingdom Armies
qstr_Kingdom_Centers|Kingdom Centers
qstr_Rename_Kingdom|Rename Kingdom
qstr_Make_a_Royal_Decree:|Make a Royal Decree:
qstr_Gather_Our_Forces|Gather Our Forces
qstr_Defend_the_Kingdom|Defend the Kingdom
qstr_You_order_the_lords_|You order the lords to present themselves with their household armies.
qstr_You_order_the_kingdo|You order the kingdom to be defended.
qstr_You_cannot_do_this_n|You cannot do this now.
qstr_Exhausted|Exhausted
qstr_Very_Tired|Very Tired
qstr_Tired|Tired
qstr_High|High
qstr_What_name_would_you_|What name would you like to give to your refuge?
qstr_Save_it_as:_{s5}.|Save it as: {s5}.
qstr_You_head_into_town_t|You head into town to select items for your party...
qstr_Penings:_{reg0}|Penings: {reg0}
qstr_Save_for_Wages:_|Save for Wages: 
qstr_Reset|Reset
qstr_Commit|Commit
qstr_{s0}|{s0}
qstr_Melee_Weapons:|Melee Weapons:
qstr_Ranged_Weapons:|Ranged Weapons:
qstr_Armor:|Armor:
qstr_Horses:|Horses:
qstr_prsnt_outfit_party:m|prsnt outfit party:mouse enter leave:failed to find troop button
qstr_prsnt_outfit_party:s|prsnt outfit party:state change:failed to find troop button
qstr_You_toss_the_offendi|You toss the offending item back!
qstr_You_make_your_big_pu|You make your big purchase!
qstr_From_Troop:_|From Troop: 
qstr_{s1}_{s2}|{s1} {s2}
qstr_{s1}_or_{s2}|{s1} or {s2}
qstr_{reg2}|{reg2}
qstr_Do_you_want_to_save_|Do you want to save your progress in Viking Conquest Campaign?
qstr_Yes.|Yes.
qstr_No.|No.
qstr_On_several_occasions|On several occasions throughout your life, you have seen the strange Latin letters, and therefore quickly learn how to read. Perhaps in time you will also learn how to write!^^This will force you to stay a week at the monastery. You want to learn to read?
qstr_No_one_here_wants_to|No one here wants to join your party.
qstr_One_{s3}_is_willing_|One {s3} is willing to follow you.
qstr_{reg5}_{s3}_are_will|{reg5} {s3} are willing to follow you.
qstr_You_need_to_get_the_|You need to get the permission of the lord of this place to recruit here.
qstr_Recruit_them__{reg6}|Recruit them ({reg6} penings).
qstr_One_{s3}_volunteers_|One {s3} volunteers to follow you.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} volunteer to follow you.
qstr_You_need_get_the_per|You need get the permission of the head of the village to recruit here.
qstr_My_Boats|My Boats
qstr_Boats_for_Sale|Boats for Sale
qstr_No_ships_for_sale^in|No ships for sale^in this town.
qstr_No_Name|No Name
qstr_{reg7}._Ship|{reg7}. Ship
qstr_Flagship|Flagship
qstr_Very_Good|Very Good
qstr_Good|Good
qstr_Acceptable|Acceptable
qstr_Bad|Bad
qstr_Very_Bad|Very Bad
qstr_Dangerous|Dangerous
qstr_Repair:_{reg8}_penin|Repair: {reg8} penings
qstr_Type:_{s7}^Wood:_{s6|Type: {s7}^Wood: {s6}^Condition: {s1}^Speed: {reg1} knots^Crew: {reg6} men^Price: {reg7} penings^{s2}
qstr_Repair_Ship|Repair Ship
qstr_Customize_Ship|Customize Ship
qstr_Sell_Ship|Sell Ship
qstr_Buy_Ship|Buy Ship
qstr_Next_ship|Next ship
qstr_Money:_{reg7}_pening|Money: {reg7} penings
qstr_Fleet_Capacity:_{reg|Fleet Capacity: {reg1}/{reg2}
qstr_CHEAT:_New_Ships.|CHEAT: New Ships.
qstr_You_cannot_sell_your|You cannot sell your boat. There are already too many boats for sale in this town.
qstr_You_cannot_buy_this_|You cannot buy this boat, because you cannot have more then seven boats.
qstr_You_cannot_buy_this_b|You cannot buy this boat, because you don't have the Sea-King skill.
qstr_You_cannot_buy_this_bo|You cannot buy this boat, because it requires a higher Sea-King skill to manage it.
qstr_You_cannot_buy_this_boa|You cannot buy this boat, because you don't have enough money.
qstr_You_cannot_repair_th|You cannot repair this boat, because you don't have enough money.
qstr_No_ships_for_sell^in|No ships for sell^in this Town.
qstr_Wood:_{s0}^|Wood: {s0}^
qstr_blue_and_white|blue and white
qstr_red_and_white|red and white
qstr_rich_striped|rich striped
qstr_green_and_yellow|green and yellow
qstr_red|red
qstr_blue_and_red|blue and red
qstr_plain|plain
qstr_blue_and_yellow|blue and yellow
qstr_Sail:_{s0}^|Sail: {s0}^
qstr_tarred|tarred
qstr_tarred_and_red|tarred and red
qstr_varnished|varnished
qstr_varnished_and_purple|varnished and purple
qstr_blue|blue
qstr_blue_red_and_green|blue, red and green
qstr_green|green
qstr_Finish:_{s0}^|Finish: {s0}^
qstr_Price:_{reg7}_pening|Price: {reg7} penings
qstr_{s1}{s2}{s3}{s4}|{s1}{s2}{s3}{s4}
qstr_Change_Finish|Change Finish
qstr_Change_Sail|Change Sail
qstr_Apply|Apply
qstr_Only_ships_made_of_o|Only ships made of oak are considered to deserve a special finish.
qstr_You_don_t_have_enoug|You don't have enough money.
qstr_Accept|Accept
qstr_Dismiss_Staff|Dismiss Staff
qstr_Recruit_staff_for_yo|Recruit staff for your refuge:
qstr_^Hiring_staff_has_bo|^Hiring staff has both initial and continuing costs. A good reputation and an impressive refuge will attract a greater variety of candidates.
qstr_Description:|Description:
qstr_Captain:|Captain:
qstr_Priest:|Priest:
qstr_Bard:|Bard:
qstr_Bottler:|Bottler:
qstr_Happy_Widow:|Happy Widow:
qstr_Trainer:|Trainer:
qstr_Smith:|Smith:
qstr_Armorer:|Armorer:
qstr_Physician:|Physician:
qstr_Cook:|Cook:
qstr_Captain_Marcus|Captain Marcus
qstr_Dismiss/No_Captain|Dismiss/No Captain
qstr_Priest_Beda|Priest Beda
qstr_Godi_Olafr|Godi Olafr
qstr_Dismiss/No_Priest|Dismiss/No Priest
qstr_No_bard_wants_to_ser|No bard wants to serve you.
qstr_Skald_Bragi|Skald Bragi
qstr_Bard_Siwi|Bard Siwi
qstr_Dismiss/No_Bard|Dismiss/No Bard
qstr_Casius|Casius
qstr_Dismiss/No_Bottler|Dismiss/No Bottler
qstr_No_happy_widow_is_av|No happy widow is available.
qstr_Suaibsech|Suaibsech
qstr_Tancoystl|Tancoystl
qstr_Gulla|Gulla
qstr_Eadgyd|Eadgyd
qstr_Dismiss/No_Whore|Dismiss/No Whore
qstr_Trainer_Haraldr|Trainer Haraldr
qstr_Dismiss/No_Trainer|Dismiss/No Trainer
qstr_Ulfberht|Ulfberht
qstr_Dismiss/No_Smith|Dismiss/No Smith
qstr_Armorer__The_Hungry_|Armorer 'The Hungry Hammer'
qstr_Dismiss/No_Armorer|Dismiss/No Armorer
qstr_No_physicians_are_av|No physicians are available.
qstr_Aurelius|Aurelius
qstr_Morgan|Morgan
qstr_Alexander|Alexander
qstr_Ailill|Ailill
qstr_Dismiss/No_Physician|Dismiss/No Physician
qstr_Wamba|Wamba
qstr_Dismiss/No_Cook|Dismiss/No Cook
qstr_{s10}|{s10}
qstr_You_do_not_have_enou|You do not have enough money to increase your staff this much. Please reduce the number of people to hire!
qstr_The_abbot_sends_for_|The abbot sends for all parties to come to the chapel, so that you can hear all sides of the story.For your part, you take advantage of the waiting time to observe the work of the scribes, texts ornate with gold.
qstr_fort|fort
qstr_town|town
qstr_village|village
qstr_Infiltration|Infiltration
qstr_A_good_way_to_hasten|A good way to hasten the fall of the {s2} is to infiltrate it with a group of men to damage the defences, food stores, water supplies or loyalty of the defenders. It is a difficult and risky maneuver, almost suicidal. Those you send in have low chances of returning, but if successful, they could cause great damage to the enemy. They need 600 penings for their troubles. What type of sabotage would you like them to cause?
qstr_Poison_the_{s2}_s_wa|Poison the {s2}'s water supplies.
qstr_Kill_the_{s2}_s_catt|Kill the {s2}'s cattle
qstr_Burn_the_{s2}_s_food|Burn the {s2}'s food stores.
qstr_Subvert_the_{s2}_s_d|Subvert the {s2}'s defenders.
qstr_____|    
qstr_A_group_of_chosen_me|A group of chosen men will be sent to poison the water supplies.
qstr_A_group_of_chosen_men|A group of chosen men will be sent to kill the cattle.
qstr_A_group_of_chosen_men_|A group of chosen men will be sent to burn the granaries.
qstr_A_group_of_chosen_men_w|A group of chosen men will be sent to subvert the defenders.
qstr_You_do_not_have_the_|You do not have the 600 penings to pay for this mission.
qstr_{s1}_of_the_{s2}|{s1} of the {s2}
qstr_Send|Send
qstr_You_are_hiring_a_mes|You are hiring a messenger.^You can do three kinds of things with a message: give Orders, change Relations and make Diplomacy.
qstr_Message_Type:|Message Type:
qstr_Select_a_Place_for_y|Select a Place for your orders:
qstr_>>_Orders:^_You_cann|>> Orders:^ You cannot give orders to a lord who doesn't belong to your kingdom.
qstr_Orders:_None.|Orders: None.
qstr_Orders:_Meet_and_Fol|Orders: Meet and Follow You.
qstr_Orders:_Go_to_a_Plac|Orders: Go to a Place.
qstr_Orders:_Patrol_an_Ar|Orders: Patrol an Area.
qstr_Orders:_Besiege_a_Pl|Orders: Besiege a Place.
qstr_>>_Relations:^This_l|>> Relations:^This lord belongs your kingdom.
qstr_Relations:_None.|Relations: None.
qstr_Relations:_Insult_an|Relations: Insult and Provoke.
qstr_Relations:_Send_a_Gi|Relations: Send a Gift.
qstr_>>_^^Diplomacy:^It_i|>> ^^Diplomacy:^It is only possible to negotiate with faction leaders^ -- if you are one yourself.
qstr_Diplomacy:_None.|Diplomacy: None.
qstr_Diplomacy:_Suggest_a|Diplomacy: Suggest an Alliance.
qstr_Diplomacy:_Suggest_P|Diplomacy: Suggest Peace.
qstr_Diplomacy:_Declare_W|Diplomacy: Declare War.
qstr_You_want_to_order_{s|You want to order {s9} to meet and follow you.
qstr_You_want_to_order_{s9|You want to order {s9} to go to...
qstr_You_want_to_order_{s9}|You want to order {s9} to patrol around....
qstr_You_want_to_order_{s9}_|You want to order {s9} to besiege...
qstr_You_want_to_send_a_m|You want to send a message to insult and provoke {s9}. Perhaps this will make him attack you.
qstr_You_want_to_send_a_g|You want to send a gift of rings, bracelets and other jewelry valued at 2000 penings to {s9}, with the intention of improving your relationship.
qstr_You_want_to_invite_{|You want to invite {s9} to make an alliance with you.
qstr_You_want_to_make_pea|You want to make peace with {s9}.
qstr_You_want_to_declare_|You want to declare war on {s9}. Remember that declaring a war without bad relations can cause other realms discomfort with and mistrust of you, especially if your kingdom has a truce or alliance with the other kingdom.
qstr_No_message_chosen.|No message chosen.
qstr_>_You_are_sending_a_|> You are sending a message to {s9}^^> Distance: {reg2} km.^^> Messenger services will cost {reg3} penings.^^^> {s10}
qstr_You_have_not_chosen_|You have not chosen a message to send.
qstr_This_place_is_alread|This place is already besieged by another realm.
qstr_You_have_good_relati|You have good relations with this kingdom. Your lord won't attack it.
qstr_You_re_already_at_pe|You're already at peace with this kingdom. It isn't necessary to send a messenger.
qstr_You_need_to_improve_|You need to improve your relationship with this kingdom before proposing an alliance.
qstr_You_already_have_an_|You already have an alliance with this kingdom. Wait until the current alliance finishes before you send your petition.
qstr_You_are_already_at_w|You are already at war with this kingdom.
qstr_You_do_not_have_the_n|You do not have the needed penings to pay to messenger.
qstr_This_is_a_hardcore_m|This is a hardcore mode of Invasion.^^Respawn is possible only at the start of the round.
qstr_Please_wait.^Player_|Please wait.^Player respawn will be possible {reg11?after {reg10} rounds:next round}.
qstr_Send_message_to_othe|Send message to other ADMINS:
qstr_Broadcast_message_to|Broadcast message to all players:
qstr_Reset_map|Reset map
qstr_Slay_all_bots|Slay all bots
qstr_Slay_player|Slay player
qstr_Heal_player|Heal player
qstr_Swap_player_team|Swap player team
qstr_Swap_player_to_spect|Swap player to spectator
qstr_Give_player_Thor_s_H|Give player Thor's Hammer
qstr_ERROR_in_script_calc|ERROR in script calculate season light
qstr_vc_ships_keel_tar|vc ships keel tar
qstr_vc_ships_hull_tar|vc ships hull tar
qstr_vc_ships_floor_tar|vc ships floor tar
qstr_vc_ships_various_tar|vc ships various tar
qstr_vc_ships_keel_varnis|vc ships keel varnish
qstr_vc_ships_hull_varnis|vc ships hull varnish
qstr_vc_ships_floor_oak|vc ships floor oak
qstr_vc_ships_various01|vc ships various01
qstr_vc_ships_keel|vc ships keel
qstr_vc_ships_hull_oak|vc ships hull oak
qstr_vc_ships_hull_pine|vc ships hull pine
qstr_vc_ships_floor_pine|vc ships floor pine
qstr_vc_ships_hull_beech|vc ships hull beech
qstr_vc_ships_floor_beech|vc ships floor beech
qstr_vc_ships_hull_painte|vc ships hull painted c
qstr_vc_ships_hull_painted|vc ships hull painted f
qstr_vc_ships_hull_painted_|vc ships hull painted a
qstr_vc_ships_hull_painted_b|vc ships hull painted b
qstr_vc_ships_hull_painted_d|vc ships hull painted d
qstr_vc_ships_hull_painted_e|vc ships hull painted e
qstr_vc_ships_sails01c|vc ships sails01c
qstr_vc_ships_sails01b|vc ships sails01b
qstr_vc_ships_sails01a|vc ships sails01a
qstr_vc_ships_sails01d|vc ships sails01d
qstr_vc_ships_sails01e|vc ships sails01e
qstr_vc_ships_sails01f|vc ships sails01f
qstr_vc_ships_sails02a|vc ships sails02a
qstr_vc_ships_sails02b|vc ships sails02b
qstr_vc_ships_sails02c|vc ships sails02c
qstr_vc_ships_sails02d|vc ships sails02d
qstr_Manage_this_village.|Manage this village.
qstr_Recruit_volunteers.|Recruit volunteers.
qstr_Go_to_the_village_ce|Go to the village center.
qstr_Buy_supplies.|Buy supplies.
qstr_Attack_the_bandits.|Attack the bandits.
qstr_Wait_here_for_some_t|Wait here for some time.
qstr_{reg5?Continue_colle|{reg5?Continue collecting taxes:Collect taxes}.
qstr_Train_the_peasants.|Train the peasants.
qstr_Take_an_action.|Take an action.
qstr_Leave...|Leave...
qstr_You_need_to_obtain_p|You need to obtain permission from the leader in this village to recruit here.
qstr___Symbel_| (Symbel)
qstr_Join_the_competition|Join the competitions.
qstr_Stroll_through_town.|Stroll through town.
qstr_Mead_hall__Hire_men_|Mead hall (Hire men).
qstr_Visit_the_mead_hall.|Visit the mead hall.
qstr_Speak_with_the_merch|Speak with the merchant.
qstr_Visit_the_training_g|Visit the training grounds.
