
itm_no_item|Нет предмета
itm_smoked_fish_pl|Копченая рыба
itm_cheese|Сыр
itm_cheese_pl|Сыр
itm_honey|Мед
itm_honey_pl|Мед
itm_sausages|Колбаски
itm_sausages_pl|Колбаски
itm_cabbages|Капуста
itm_cabbages_pl|Капуста
itm_dried_meat|Сушеное мясо
itm_dried_meat_pl|Сушеное мясо
itm_apples|Фрукты
itm_apples_pl|Фрукты
itm_raw_grapes|Виноград
itm_raw_grapes_pl|Виноград
itm_raw_olives|Оливки
itm_raw_olives_pl|Оливки
itm_grain|Зерно
itm_grain_pl|Зерно
itm_cattle_meat|Говядина
itm_cattle_meat_pl|Говядина
itm_bread|Хлеб
itm_bread_pl|Хлеб
itm_chicken|Цыпленок
itm_chicken_pl|Цыплята
itm_pork|Свинина
itm_pork_pl|Свинина
itm_butter|Масло
itm_butter_pl|Масло
itm_siege_supply|Припасы
itm_siege_supply_pl|Припасы
itm_quest_wine|Вино
itm_quest_wine_pl|Вино
itm_quest_ale|Эль
itm_quest_ale_pl|Эль
itm_sumpter_horse|Вьючный конь
itm_sumpter_horse_pl|Вьючные кони
itm_saddle_horse|Верховой конь
itm_saddle_horse_pl|Верховые кони
itm_steppe_horse|Степной конь
itm_steppe_horse_pl|Степные кони
itm_arabian_horse_a|Пустынный конь
itm_arabian_horse_a_pl|Пустынные кони
itm_courser|Скаковой конь
itm_courser_pl|Скаковые кони
itm_arabian_horse_b|Сарранидский конь
itm_arabian_horse_b_pl|Сарранидские кони
itm_hunter|Гунтер
itm_hunter_pl|Гунтеры
itm_warhorse|Боевой конь
itm_warhorse_pl|Боевые кони
itm_charger|Дестриер
itm_charger_pl|Дестриер
itm_arrows|Стрелы
itm_arrows_pl|Стрелы
itm_khergit_arrows|Хергитские стрелы
itm_khergit_arrows_pl|Хергитские стрелы
itm_barbed_arrows|Зазубренные стрелы
itm_barbed_arrows_pl|Зазубренные стрелы
itm_bodkin_arrows|Шиловидные стрелы
itm_bodkin_arrows_pl|Шиловидные стрелы
itm_bolts|Болты
itm_bolts_pl|Болты
itm_steel_bolts|Стальные болты
itm_steel_bolts_pl|Стальные болты
itm_cartridges|Патроны
itm_cartridges_pl|Патроны
itm_pilgrim_disguise|Одеяние паломника
itm_pilgrim_disguise_pl|Одеяния паломников
itm_pilgrim_hood|Капюшон паломника
itm_pilgrim_hood_pl|Капюшоны паломников
itm_leather_gloves|Кожаные перчатки
itm_leather_gloves_pl|Кожаные перчатки
itm_mail_mittens|Кольчужные перчатки
itm_mail_mittens_pl|Кольчужные перчатки
itm_scale_gauntlets|Чешуйчатые перчатки
itm_scale_gauntlets_pl|Чешуйчатые перчатки
itm_lamellar_gauntlets|Ламеллярные перчатки
itm_lamellar_gauntlets_pl|Ламеллярные перчатки
itm_gauntlets|Латные рукавицы
itm_gauntlets_pl|Латные рукавицы
itm_wrapping_boots|Обмотки
itm_wrapping_boots_pl|Обмотки
itm_woolen_hose|Шерстяные шоссы
itm_woolen_hose_pl|Шерстяные шоссы
itm_blue_hose|Синие шоссы
itm_blue_hose_pl|Синие шоссы
itm_hunter_boots|Охотничьи сапоги
itm_hunter_boots_pl|Охотничьи сапоги
itm_hide_boots|Сапоги из толстой кожи
itm_hide_boots_pl|Сапоги из толстой кожи
itm_ankle_boots|Башмаки
itm_ankle_boots_pl|Башмаки
itm_nomad_boots|Сапоги кочевника
itm_nomad_boots_pl|Сапоги кочевника
itm_leather_boots|Кожаные сапоги
itm_leather_boots_pl|Кожаные сапоги
itm_splinted_leather_greaves|Ламинарные кожаные наголенники
itm_splinted_leather_greaves_pl|Ламинарные кожаные наголенники
itm_mail_chausses|Кольчатые чулки
itm_mail_chausses_pl|Кольчатые чулки
itm_splinted_greaves|Ламинарные наголенники
itm_splinted_greaves_pl|Ламинарные наголенники
itm_mail_boots|Кольчужные сапоги
itm_mail_boots_pl|Кольчужные сапоги
itm_iron_greaves|Стальные наголенники
itm_iron_greaves_pl|Стальные наголенники
itm_black_greaves|Черные наголенники
itm_black_greaves_pl|Черные наголенники
itm_khergit_leather_boots|Хергитские кожаные сапоги
itm_khergit_leather_boots_pl|Хергитские кожаные сапоги
itm_sarranid_boots_a|Сарранидские туфли
itm_sarranid_boots_a_pl|Сарранидские туфли
itm_sarranid_boots_b|Сарранидские кожаные сапоги
itm_sarranid_boots_b_pl|Сарранидские кожаные сапоги
itm_sarranid_boots_c|Пластинчатые сапоги
itm_sarranid_boots_c_pl|Пластинчатые сапоги
itm_sarranid_boots_d|Сарранидские кольчужные сапоги
itm_sarranid_boots_d_pl|Сарранидские кольчужные сапоги
itm_sarranid_head_cloth|Платок благородной дамы
itm_sarranid_head_cloth_pl|Платки благородной дамы
itm_sarranid_head_cloth_b|Платок благородной дамы
itm_sarranid_head_cloth_b_pl|Платки благородной дамы
itm_sarranid_felt_head_cloth|Платок
itm_sarranid_felt_head_cloth_pl|Платки
itm_sarranid_felt_head_cloth_b|Платок
itm_sarranid_felt_head_cloth_b_pl|Платки
itm_lady_dress_ruby|Платье благородной дамы
itm_lady_dress_ruby_pl|Платья благородной дамы
itm_lady_dress_green|Платье благородной дамы
itm_lady_dress_green_pl|Платья благородной дамы
itm_lady_dress_blue|Платье благородной дамы
itm_lady_dress_blue_pl|Платья благородной дамы
itm_red_dress|Красное платье
itm_red_dress_pl|Красные платья
itm_brown_dress|Коричневое платье
itm_brown_dress_pl|Коричневые платья
itm_green_dress|Зеленое платье
itm_green_dress_pl|Зеленые платья
itm_khergit_lady_dress|Хергитское платье благородной дамы
itm_khergit_lady_dress_pl|Хергитские платья благородной дамы
itm_khergit_lady_dress_b|Хергитское кожаное платье благородной дамы
itm_khergit_lady_dress_b_pl|Хергитское кожаное платье благородной дамы
itm_sarranid_lady_dress|Сарранидское платье благородной дамы
itm_sarranid_lady_dress_pl|Сарранидские платья благородной дамы
itm_sarranid_lady_dress_b|Сарранидское платье благородной дамы
itm_sarranid_lady_dress_b_pl|Сарранидские платья благородной дамы
itm_sarranid_common_dress|Сарранидское платье
itm_sarranid_common_dress_pl|Сарранидские платья
itm_sarranid_common_dress_b|Сарранидское платье
itm_sarranid_common_dress_b_pl|Сарранидские платья
itm_courtly_outfit|Придворное платье
itm_courtly_outfit_pl|Придворные платья
itm_nobleman_outfit|Платье знатного человека
itm_nobleman_outfit_pl|Платья знатного человека
itm_nomad_armor|Доспех кочевника
itm_nomad_armor_pl|Доспехи кочевников
itm_khergit_armor|Хергитский доспех
itm_khergit_armor_pl|Хергитские доспехи
itm_leather_jacket|Дублет
itm_leather_jacket_pl|Дублеты
itm_rawhide_coat|Куяк из сыромятной кожи
itm_rawhide_coat_pl|Куяки из сыромятной кожи
itm_leather_armor|Кожаный доспех
itm_leather_armor_pl|Кожаные доспехи
itm_fur_coat|Кафтан на меху
itm_fur_coat_pl|Кафтаны на меху
itm_coat|Куяк
itm_coat_pl|Куяки  
itm_leather_coat|Кожаный куяк
itm_leather_coat_pl|Кожаные куяки
itm_mail_coat|Кольчуга
itm_mail_coat_pl|Кольчуги
itm_long_mail_coat|Длинная кольчуга
itm_long_mail_coat_pl|Длинные кольчуги
itm_sleeveless_mail_coat|Безрукавная кольчуга
itm_sleeveless_mail_coat_pl|Безрукавные кольчуги
itm_sleeveless_coat|Безрукавный куяк
itm_sleeveless_coat_pl|Безрукавные куяки
itm_hide_coat|Куяк из грубой кожи
itm_hide_coat_pl|Куяк из грубой кожи
itm_merchant_outfit|Костюм торговца
itm_merchant_outfit_pl|Костюмы торговцев
itm_homespun_dress|Домотканое платье
itm_homespun_dress_pl|Домотканые платья
itm_thick_coat|Усиленный куяк
itm_thick_coat_pl|Усиленные куяки
itm_coat_with_cape|Куяк с наплечниками
itm_coat_with_cape_pl|Куяки с наплечниками
itm_steppe_outfit|Одеяние степняка
itm_steppe_outfit_pl|Одеяния степняков
itm_nordic_outfit|Северный наряд
itm_nordic_outfit_pl|Северные наряды
itm_nordic_armor|Северный доспех
itm_nordic_armor_pl|Северные доспехи
itm_hide_armor|Доспех из жесткой кожи
itm_hide_armor_pl|Доспехи из жесткой кожи
itm_cloaked_tunic|Туника с капюшоном
itm_cloaked_tunic_pl|Туники с капюшоном
itm_sleeveless_tunic|Туника-безрукавка
itm_sleeveless_tunic_pl|Туники-безрукавки
itm_sleeveless_leather_tunic|Кожаная туника-безрукавка
itm_sleeveless_leather_tunic_pl|Кожаные туники-безрукавки
itm_linen_shirt|Льняная рубаха
itm_linen_shirt_pl|Льняные рубахи
itm_wool_coat|Шерстяная накидка
itm_wool_coat_pl|Шерстяные накидки
itm_dress|Платье
itm_dress_pl|Платья
itm_blue_dress|Синее платье
itm_blue_dress_pl|Синие платья
itm_peasant_dress|Крестьянское платье
itm_peasant_dress_pl|Крестьянские платья
itm_woolen_dress|Шерстяное платье
itm_woolen_dress_pl|Шерстяные платья
itm_shirt|Рубаха
itm_shirt_pl|Рубахи
itm_linen_tunic|Полотняная туника
itm_linen_tunic_pl|Полотняные туники
itm_short_tunic|Зеленая туника
itm_short_tunic_pl|Зеленые туники
itm_red_shirt|Красная рубаха
itm_red_shirt_pl|Красные рубахи
itm_red_tunic|Красная туника
itm_red_tunic_pl|Красные туники
itm_green_tunic|Зеленая туника
itm_green_tunic_pl|Зеленые туники
itm_blue_tunic|Синяя туника
itm_blue_tunic_pl|Синие туники
itm_robe|Роба
itm_robe_pl|Робы
itm_coarse_tunic|Туника с вестой
itm_coarse_tunic_pl|Туники с вестами
itm_leather_apron|Кожаный передник
itm_leather_apron_pl|Кожаные передники
itm_tabard|Табард
itm_tabard_pl|Табарды
itm_leather_vest|Безрукавная кожанка
itm_leather_vest_pl|Безрукавные кожанки
itm_steppe_armor|Доспех степняка
itm_steppe_armor_pl|Доспехи степняков
itm_gambeson|Гамбезон
itm_gambeson_pl|Гамбезоны
itm_blue_gambeson|Синий гамбезон
itm_blue_gambeson_pl|Синие гамбезоны
itm_red_gambeson|Красный гамбезон 
itm_red_gambeson_pl|Красные гамбезоны
itm_padded_cloth|Акетон
itm_padded_cloth_pl|Акетоны
itm_aketon_green|Стеганка
itm_aketon_green_pl|Стеганка
itm_leather_jerkin|Кожаный колет
itm_leather_jerkin_pl|Кожаные колеты
itm_nomad_vest|Халат
itm_nomad_vest_pl|Халаты
itm_ragged_outfit|Лохмотья
itm_ragged_outfit_pl|Лохмотья
itm_padded_leather|Кожаная стеганка
itm_padded_leather_pl|Кожаные стеганки
itm_tribal_warrior_outfit|Доспех из необработанной кожи
itm_tribal_warrior_outfit_pl|Доспехи из необработанной кожи
itm_nomad_robe|Роба степняка
itm_nomad_robe_pl|Робы степняка
itm_studded_leather_coat|Клепаный куяк
itm_studded_leather_coat_pl|Клепаные куяки
itm_byrnie|Кольчуга с короткими рукавами
itm_byrnie_pl|Кольчуги с короткими рукавами
itm_haubergeon|Короткий хауберк
itm_haubergeon_pl|Короткие хауберки
itm_lamellar_vest|Ламеллярный жилет
itm_lamellar_vest_pl|Ламеллярные жилеты
itm_lamellar_vest_khergit|Хергитский ламеллярный жилет
itm_lamellar_vest_khergit_pl|Хергитские ламеллярные жилеты
itm_mail_shirt|Кольчужная рубаха
itm_mail_shirt_pl|Кольчужные рубахи
itm_mail_hauberk|Хауберк
itm_mail_hauberk_pl|Хауберки
itm_mail_with_surcoat|Кольчуга с сюрко
itm_mail_with_surcoat_pl|Кольчуги с сюрко
itm_surcoat_over_mail|Сюрко поверх кольчуги
itm_surcoat_over_mail_pl|Сюрко поверх кольчуги
itm_brigandine_red|Бригантина
itm_brigandine_red_pl|Бригантина
itm_lamellar_armor|Ламеллярный доспех
itm_lamellar_armor_pl|Ламеллярные доспехи
itm_scale_armor|Чешуйчатый доспех
itm_scale_armor_pl|Чешуйчатые доспехи
itm_banded_armor|Клепаный пурпуэн
itm_banded_armor_pl|Клепаные пурпуэны
itm_cuir_bouilli|Кожаная кираса
itm_cuir_bouilli_pl|Кожаная кираса
itm_coat_of_plates|Пластинчатый доспех
itm_coat_of_plates_pl|Пластинчатые доспехи
itm_coat_of_plates_red|Пластинчатый доспех
itm_coat_of_plates_red_pl|Пластинчатый доспех
itm_plate_armor|Латный доспех
itm_plate_armor_pl|Латные доспехи
itm_black_armor|Черный доспех
itm_black_armor_pl|Черные доспехи
itm_pelt_coat|Кожаный доспех
itm_pelt_coat_pl|Кожаные доспехи
itm_khergit_elite_armor|Хергитский элитный доспех
itm_khergit_elite_armor_pl|Хергитские элитные доспехи
itm_vaegir_elite_armor|Вегирский элитный доспех
itm_vaegir_elite_armor_pl|Вегирские элитные доспехи
itm_sarranid_elite_armor|Сарранидский элитный доспех
itm_sarranid_elite_armor_pl|Сарранидские элитные доспехи
itm_sarranid_dress_a|Платье
itm_sarranid_dress_a_pl|Платье
itm_sarranid_dress_b|Платье
itm_sarranid_dress_b_pl|Платье
itm_sarranid_cloth_robe|Поношенная роба
itm_sarranid_cloth_robe_pl|Поношенные робы
itm_sarranid_cloth_robe_b|Поношенная роба
itm_sarranid_cloth_robe_b_pl|Поношенная роба
itm_skirmisher_armor|Доспех стрелка
itm_skirmisher_armor_pl|Доспехи стрелков
itm_archers_vest|Стеганый жилет лучника
itm_archers_vest_pl|Стеганые жилеты лучников
itm_sarranid_leather_armor|Сарранидский кожаный доспех
itm_sarranid_leather_armor_pl|Сарранидские кожаные доспехи
itm_sarranid_cavalry_robe|Кавалерийская роба
itm_sarranid_cavalry_robe_pl|Кавалерийские робы
itm_arabian_armor_b|Доспех сарранидской стражи
itm_arabian_armor_b_pl|Доспехи сарранидской стражи
itm_sarranid_mail_shirt|Сарранидская кольчужная рубаха
itm_sarranid_mail_shirt_pl|Сарранидские кольчужные рубахи
itm_mamluke_mail|Кольчуга мамелюка
itm_mamluke_mail_pl|Кольчуги мамелюков
itm_burlap_tunic|Джутовая туника
itm_burlap_tunic_pl|Джутовые туники
itm_heraldic_mail_with_surcoat|Геральдическая кольчуга с сюрко
itm_heraldic_mail_with_surcoat_pl|Геральдические кольчуги с сюрко
itm_heraldic_mail_with_tunic|Геральдическая кольчуга
itm_heraldic_mail_with_tunic_pl|Геральдические кольчуги
itm_heraldic_mail_with_tunic_b|Геральдическая кольчуга
itm_heraldic_mail_with_tunic_b_pl|Геральдические кольчуги
itm_heraldic_mail_with_tabard|Геральдическая кольчуга с табардом
itm_heraldic_mail_with_tabard_pl|Геральдические кольчуги с табардами
itm_turret_hat_ruby|Шапочка-таблетка
itm_turret_hat_ruby_pl|Шапочки-таблетки
itm_turret_hat_blue|Шапочка-таблетка
itm_turret_hat_blue_pl|Шапочки-таблетки
itm_turret_hat_green|Барбетта
itm_turret_hat_green_pl|Барбетта
itm_head_wrappings|Повязка
itm_head_wrappings_pl|Повязки
itm_court_hat|Шапочка-таблетка
itm_court_hat_pl|Шапочки-таблетки
itm_wimple_a|Вимпл
itm_wimple_a_pl|Вимплы
itm_wimple_with_veil|Вимпл с вуалью
itm_wimple_with_veil_pl|Вимплы с вуалью
itm_straw_hat|Соломенная шляпа
itm_straw_hat_pl|Соломенные шляпы
itm_common_hood|Капюшон
itm_common_hood_pl|Капюшоны
itm_hood_b|Капюшон
itm_hood_b_pl|Капюшон
itm_hood_c|Капюшон
itm_hood_c_pl|Капюшон
itm_hood_d|Капюшон
itm_hood_d_pl|Капюшон
itm_headcloth|Платок
itm_headcloth_pl|Платки
itm_woolen_hood|Шерстяной капюшон
itm_woolen_hood_pl|Шерстяные капюшоны
itm_arming_cap|Подшлемник
itm_arming_cap_pl|Подшлемники
itm_fur_hat|Меховая шапка
itm_fur_hat_pl|Меховые шапки
itm_nomad_cap|Шапка кочевника
itm_nomad_cap_pl|Шапки кочевников
itm_nomad_cap_b|Шапка кочевника
itm_nomad_cap_b_pl|Шапка кочевника
itm_steppe_cap|Шогирме
itm_steppe_cap_pl|Шогирме
itm_padded_coif|Стеганый подшлемник
itm_padded_coif_pl|Стеганые подшлемники
itm_woolen_cap|Шерстяная шапочка
itm_woolen_cap_pl|Шерстяные шапочки
itm_felt_hat|Фетровая шляпа
itm_felt_hat_pl|Фетровые шляпы
itm_felt_hat_b|Фетровая шляпа
itm_felt_hat_b_pl|Фетровая шляпа
itm_leather_cap|Кожаная шапочка
itm_leather_cap_pl|Кожаные шапочки
itm_female_hood|Женский капюшон
itm_female_hood_pl|Женские капюшоны
itm_leather_steppe_cap_a|Шапочка степняка
itm_leather_steppe_cap_a_pl|Шапочки степняков
itm_leather_steppe_cap_b|Шапочка степняка
itm_leather_steppe_cap_b_pl|Шапочки степняков
itm_leather_steppe_cap_c|Шапочка степняка
itm_leather_steppe_cap_c_pl|Шапочки степняков
itm_leather_warrior_cap|Кожаная шапочка воина
itm_leather_warrior_cap_pl|Кожаные шапочки воинов
itm_skullcap|Кожаный шлем
itm_skullcap_pl|Кожаные шлемы
itm_mail_coif|Кольчужный капюшон
itm_mail_coif_pl|Кольчужные капюшоны
itm_footman_helmet|Шишак
itm_footman_helmet_pl|Шишаки
itm_nasal_helmet|Шлем с наносником
itm_nasal_helmet_pl|Шлемы с наносниками
itm_norman_helmet|Норманский шлем
itm_norman_helmet_pl|Норманские шлемы
itm_segmented_helmet|Сегментированный шлем
itm_segmented_helmet_pl|Сегментированные шлемы
itm_helmet_with_neckguard|Шлем с бармицей
itm_helmet_with_neckguard_pl|Шлемы с бармицами
itm_flat_topped_helmet|Топхельм
itm_flat_topped_helmet_pl|Топхельмы
itm_kettle_hat|Шапель
itm_kettle_hat_pl|Шапель
itm_spiked_helmet|Шипастый шлем
itm_spiked_helmet_pl|Шипастые шлемы
itm_nordic_helmet|Северный шлем
itm_nordic_helmet_pl|Северные шлемы
itm_khergit_lady_hat|Хергитская дамская шляпка
itm_khergit_lady_hat_pl|Хергитские дамские шляпки
itm_khergit_lady_hat_b|Хергитская кожаная женская шапка
itm_khergit_lady_hat_b_pl|Хергитские кожаные женские шапки
itm_sarranid_felt_hat|Сарранидская фетровая шапка
itm_sarranid_felt_hat_pl|Сарранидские фетровые шапки
itm_turban|Тюрбан
itm_turban_pl|Тюрбаны
itm_desert_turban|Тюрбан пустынника
itm_desert_turban_pl|Тюрбаны пустынников
itm_sarranid_warrior_cap|Сарранидская шапочка воина
itm_sarranid_warrior_cap_pl|Сарранидские шапочки воинов
itm_sarranid_horseman_helmet|Шлем конника
itm_sarranid_horseman_helmet_pl|Шлемы конников
itm_sarranid_helmet1|Сарранидский шлем-куфия
itm_sarranid_helmet1_pl|Сарранидские шлемы-куфии
itm_sarranid_mail_coif|Сарранидский кольчужный капюшон
