
qstr_Next_Page|Следующая страница
qstr_{s57}_and_{s58}|{s57} и {s58}
qstr_{reg3?She:He}|{reg3?Она:Он}
qstr_The_town_of_{s50}|Город {s50}
qstr_The_village_of_{s50}|Деревня {s50} возле {s52}
qstr_{s51}_belongs_to_{s1|{s51} принадлежит {s1} из {s2}.^
qstr_{s7}_and_{s8}|{s7} и {s8}
qstr_{s2}It_has_no_villag|{s2}Не владеет деревнями.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Прилегающие поселения:Прилегающее поселение} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Достаток: {s50}
qstr_noone|пусто
qstr_{s9}_and_{s10}|{s9} и {s10}
qstr_{s5}_has_been_defeat|{s5} терпит поражение!
qstr_{s7}_opened_the_gate|{s7} открыл ворота
qstr_{s7}_closed_the_gate|{s7} закрыл ворота
qstr_+{reg1}_to_party_mor|+{reg1} к боевому духу отряда
qstr_Requires_{reg1}_inte|Для того чтобы вы могли прочесть это, ваш интеллект должен быть равен {reg1}.
qstr_Reading_Progress:_{r|Чтение: {reg1}%
qstr_wound_treament|перевязке ран
qstr_trainer|обучению
qstr_surgery|хирургии
qstr_+1_to_{s1}_while_in_|+1 к {s1} при ношении с собой
qstr_Move_here|Перейти сюда
qstr_View_notes|Прочитать заметки
qstr_Accompany|Сопровождать
qstr_killed|убито
qstr_wounded|ранено
qstr_{s0}^TOTAL:_{reg3}__|{s0}^ВСЕГО: {reg3} ({s2})
qstr_^None|^Нет
qstr_nothing|нет
qstr_{reg0}_village{reg1?|{reg0} дерев{reg1?ень:ня}
qstr_{reg0}_castle{reg1?s|{reg0} зам{reg1?ков:ок}
qstr_{reg0}_castle{reg1?s:|{reg0} {reg1?замков:замок} и {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} город{reg1?ов:}
qstr_{reg0}_town{reg1?s:}_|{reg0} {reg1?городов:город} и {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} город{reg1?ов:}, {s0}
qstr_Your_opponents_are_r|Ваши противники готовы к бою.
qstr_Try_to_destroy_as_ma|Уничтожьте как можно больше целей. У вас две с половиной минуты на зачистку пути.
qstr_Stay_behind_the_line|Встаньте за линию и стреляйте по целям. Старайтесь не промахиваться.
qstr_Battle_Advantage_=_{|Боевое преимущество: {reg0}.
qstr_{s9}_wants_you_to_re|{s9} хочет, чтобы вы следовали за его армией и ожидали дальнейших распоряжений.
qstr__Being_Raided_|(Под нападением)
qstr__Looted_|(После разграбления)
qstr__Under_Siege_|(В осаде)
qstr_The_village_of_{s1}_|{s2} разоряет деревню {s1}.
qstr_{s3}_is_no_longer_un|{s3}, осада снята.
qstr_Small_bands_of_enemi|Близ {s1} замечены небольшие отряды врага.
qstr_Enemy_patrols_spotte|Близ {s1} замечены вражеские патрули.
qstr_Medium_sized_group_o|Близ {s1} замечены отряды врага средней численности.
qstr_Significant_group_of|Близ {s1} замечены значительные отряды врага.
qstr_Army_of_enemies_spot|Близ {s1} замечена вражеская армия.
qstr_Large_army_of_enemie|Близ {s1} замечена крупная вражеская армия.
qstr_Great_host_of_enemie|Близ {s1} замечено большое вражеское войско.
qstr_{s1}_has_been_besieg|{s1} находится под осадой {s2} из {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} становится новым маршалом {s2}.
qstr_You_gained_{reg12}_r|Ваша известность возрастает на {reg12}.
qstr_You_lose_{reg12}_ren|Ваша известность уменьшается на {reg12}.
qstr_Your_relation_with_{|Ваши отношения с {s1} улучшились.
qstr_Your_relation_with_{s|Ваши отношения с {s1} ухудшились.
qstr_You_gain_honour.|Вы снискали уважение.
qstr_You_lose_honour.|Вы потеряли уважение.
qstr_{s1}_has_declared_wa|{s1} и {s2} развязывают войну.
qstr_{s1}_and_{s2}_have_m|{s1} и {s2} заключают мир.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?был:находится} в {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?был в дороге:в дороге} к {s3} и {reg4?она:он} {reg3?должен быть:сейчас} недалеко от {s4}{reg3?:}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?был:сейчас} в пути и {reg4?она:он} {reg3?был:должен быть} недалеко от {s3}{reg3?: в данный момент}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?находился:находится} в плену в {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?был:сейчас} в плену у {reg4?ее:его} врагов.
qstr_{reg3?{s2}_s_locatio|{reg3?Местонахождение {s2} неизвестно:Я не знаю, где сейчас {s2}}.
qstr_{s6}_has_joined_your|{s6} присоединяется к отряду.
qstr_You_now_owe_{reg2}_d|Вы должны {reg2} динаров {s1}.
qstr_Renown_value_for_thi|В случае победы известность повысится на {reg8}.
qstr_You_have_run_into_a_|Вы попали в ловушку!
qstr_You_are_attacked_by_|На вас напали бандиты!
qstr_Holding|Держать оборону!
qstr_Following|За мной!
qstr_Charging|Атаковать
qstr_Advancing|Наступать
qstr_Falling_Back|Отступать
qstr_Standing_Closer|Сомкнуть ряды
qstr_Spreading_Out|Рассредоточиться
qstr_Standing|Стоять на месте
qstr_N/A|Нет
qstr_Free|Свободно
qstr_Any_Weapon|Любое оружие
qstr_Blunt_Weapons|Дробящее оружие
qstr_{s1}_Rebels|{s1} (Мятежники)
qstr_Given_by:_{s62}|Кто выдал: {s62}
qstr_Given_on:_{s60}|Когда выдано: {s60}
qstr_You_have_{reg0}_days|Дней на выполнение этого задания: {reg0}.
qstr_This_quest_has_been_|Это задание завершено. {s59} ждет вас для разговора.
qstr_This_quest_has_been_s|Это задание успешно выполнено. {s59} ждет вас, чтобы вручить награду.
qstr_This_quest_has_faile|Задание провалено. {s59} ждет ваших объяснений.
qstr_At_the_time_quest_wa|В день, когда было выдано задание:^{s1}
qstr_{s5}_has_a_strength_|Всего в армии {s5} {reg1} человек.
qstr_The_last_time_you_sa|Когда вы видели {reg1?ее:его} последний раз, {s1}
qstr_The_last_time_you_he|Когда вы слышали о {reg1?ней:нем} последний раз, {s1}
qstr_Current_garrison_con|В гарнизоне {reg5} человек.^Еды хватит на {reg6}  дней.
qstr_Very_Poor|Очень низкое
qstr_Poor|Низкое
qstr_Average|Среднее
qstr_Rich|Высокое
qstr_Very_Rich|Очень высокое
qstr_Manor|Поместье
qstr_A_manor_lets_you_res|Поместье позволяет вам отдыхать в деревне. Во время отдыха вы платите людям из своего отряда лишь половину жалования. 
qstr_Mill|Мельница
qstr_A_mill_increases_vil|Мельница увеличивает благосостояние деревни на 5%.
qstr_Watch_Tower|Сторожевая башня
qstr_A_watch_tower_lets_t|Сторожевая башня позволяет жителям деревни раньше поднять тревогу. Время, за которое враги разорят поселок, увеличивается на 25%.
qstr_School|Школа
qstr_A_shool_increases_th|Благодаря школе преданность вам сельских жителей увеличивается на 1 пункт в месяц.
qstr_Messenger_Post|Почтовая станция
qstr_A_messenger_post_let|Благодаря почтовой станции жители могут послать вам сообщение о нападении врагов, даже если вы находитесь далеко.
qstr_Prison_Tower|Тюремная башня
qstr_A_prison_tower_reduc|У пленников в тюремной башне будет меньше шансов сбежать.
qstr_Prosperity_of_{s2}_h|Уровень благосостояния {s2} изменился с {s3} до {s4}.
qstr_{s4}_looks_upset.|{s4} выглядит расстроено.
qstr_your_party|ваш отряд
qstr_{reg0?One_of_your_pr|{reg0?Одному из ваших пленников, :}{s1} из {s3} удалось сбежать!
qstr_You_brought_{reg3}_h|Вы перегнали {reg3} голов скота в {s1}.
qstr_I_heard_that_there_w|Говорят, что в {s62} скоро будет турнир.
qstr_I_heard_that_one_can|Говорят, что {s62} можно задешево купить в {s63}.
qstr_I_heard_that_they_pa|Говорят, что в {s63} очень хорошо платят за {s62}.
qstr_two_days_ago|два дня назад
qstr_Best_threat_of_{s4}_|Лучшая угроза {s34} имеет показатель уровня {reg1}
qstr_No_center_found_to_d|Не найден центр для обороны
qstr_You_gain_right_to_ru|Вы получаете право на трон.
qstr_You_lose_right_to_ru|Вы теряете право на трон.
qstr_Added_money_for_your|Добавлены деньги за вашу старую лошадь.
qstr_You_got_keys_of_dung|Вы получили ключи от темницы.
qstr_You_must_stay_behind|Вы должны стоять за линией! Очко не засчитано.
qstr_Tutorial|Обучение
qstr_Calculating_value_of|Просчет ценности оригинальных вещей!
qstr_You_came_into_the_wo|Вы - {reg3?дочь:сын} благородного, но обедневшего семейства. Дела вашего отца окончательно пришли в упадок, и из всех былых владений у него остался лишь дом, в котором вы и жили. Несмотря на все трудности, семья сумела дать вам хорошее образование и с детства подготовить вас к благородной жизни при дворе.
qstr_You_were_born_the_{r|Вы - {reg3?дочь:сын} странствующих торговцев, постоянно переезжающих с места на место в поисках прибыли. Несмотря на то что ваши родители были богаче большинства окружающих вас людей и дали вам самое лучшее образование, на какое были способны, вы так и не смогли завести себе друзей в бесконечных путешествиях. Вся ваша жизнь в основном состояла из торговли.
qstr_As_a_child_your_fami|Когда вы были ребенком, ваша семья с трудом сводила концы с концами, пытаясь прожить на жалованье отца - тот служил в страже местного правителя. Жилось вам нелегко, и на хорошее образование не было средств. В основном вы учились тому, как защищаться на улице с оружием или без него.
qstr_{reg3?daughter:son}|{reg3?дочь:сын}
qstr_You_were_the_{reg3?d|Вы родились в семье, которая жила около леса и, сводя концы с концами, занималась всем подряд: охотой, заготовкой дров, изготовлением стрел, а когда приходилось совсем туго - браконьерством. Зима была для вашей семьи самым тяжким временем, потому что от холода умирали как животные, так и люди, однако вы сумели пережить все долгие зимы, хотя вашим братьям и сестрам повезло куда меньше.
qstr_You_were_a_child_of_|Вы родились в степи, в племени кочевников, которые жили в больших лагерях на засушливых пастбищах. Как и все кочевники, ваша семья больше всего на свете ценила лошадей, и вы научились ездить верхом едва ли не раньше, чем ходить.
qstr_As_the_{reg3?daughte|Родившись {reg3?дочерью:сыном} вора, вы получили очень мало "формального" образования. Вместо учебы вы проводили все время на улице и выпрашивали милостыню, пока не научились подрезать кошельки, затем - вскрывать замки, и так, в общем-то, прошло все ваше детство. Вы отлично научились выживать на опасных улицах и узнали множество не самых приятных городских секретов.
qstr_As_a_{reg3?girl:boy}|Когда вы чуть подросли, вас отправили жить ко двору одного из местных правителей, где вы прежде всего обучились покорности, выполняя требования разных дам и господ. Однако, глядя на их интриги, слушая их сплетни и даже стихи о великих подвигах и страстной любви, вы потихоньку начали узнавать об огромном мире вокруг вас, в котором ни на миг не прекращается борьба. Также вы многое почерпнули из жестоких игр других детей, которые избивали друг друга палками или деревянными мечами.
qstr_As_a_{reg3?girl:boy}_|Когда вы чуть подросли, вас отдали в подмастерья учиться ремеслу. После многих лет тяжкой работы и обучения, хозяин повысил вас до {reg3?работницы:работника} и нанял вас на службу, положив полное жалованье до тех пор, пока вы сами не решили бы уйти.
qstr_As_a_{reg3?girl:boy}_g|Когда вы чуть подросли, вы стали учиться ремеслу у богатого торговца, продавая самые разные товары в лавке или со странствующим караваном. Скоро вы научились покупать дешевле, продавать дороже и заставлять покупателей думать, что им очень повезло с покупкой.
qstr_As_a_{reg3?girl:boy}_gr|Когда вы чуть подросли, то отправились прямиком на улицу, делая все, чтобы выжить. Вы попрошайничали, вступали в банды и жили сегодняшним днем, всегда оставаясь на шаг впереди закона и тех, кто желал вам зла.
qstr_As_a_{reg3?girl:boy}_gro|Когда вы чуть подросли, вы начали выезжать в бескрайние степи на своей собственной лошади, изучая травы и пустыню. Хотя иногда вам не хватало еды, вы сумели стать отличным охотником и следопытом. Ваши мышцы окрепли, и со временем вы стали настоящим кочевником.
qstr_{reg3?daughter:man}|{reg3?дочь:мужчина}
qstr_Though_the_distincti|Хотя вы и не сразу это заметили, но со временем вы стали {reg3?взрослой женщиной:взрослым мужчиной}, и весь мир вокруг вас изменился. Когда вас посвятили в придворные рыцари, вы стали учиться обращаться с оружием, наносить и выдерживать сильные удары. Вам рассказали об обязанностях, которые вы несете перед правителем, и о долге перед теми, кто однажды может стать вашими вассалами. Но помимо рыцарских идеалов вы узнали также о вещах менее приятных: старые воины многое поведали вам о жестокой политике, власти, предательстве, а также людях, которые достигали своих целей как храбростью, так и коварством.
qstr_{reg3?woman:man}|{reg3?женщина:мужчина}
qstr_Though_the_distinctio|Хотя вы и не сразу это заметили, но со временем вы повзрослели, и весь мир вокруг вас изменился. Вы присоединились к тесному кругу придворных дам, жен и любовниц аристократов, а также юных девушек, которым еще только предстояло найти себе мужа. Однако даже здесь процветала политика: дамы боролись за влияние и внимание завидных женихов при дворе. Скоро вы научились обращать все события себе на пользу и поняли, что при должной утонченности сможете со временем стать очень влиятельной фигурой в этом мирке.
qstr_Though_the_distinction|Хотя вы и не сразу это заметили, но со временем вы повзрослели, и весь мир вокруг вас изменился. Вы зажили своей жизнью, не имея ничего, кроме инструмента за спиной и вашего собственного голоса. Поначалу вам жилось нелегко, людям часто не нравились ваши выступления, и вы не всегда могли купить себе еду. Однако вы сумели выжить благодаря пению, и со временем научились собирать целые толпы в тавернах и, что еще полезнее, выпытывать у людей всю нужную вам информацию.
qstr_Though_the_distinction_|Хотя вы и не сразу это заметили, но со временем вы стали {reg3?взрослой женщиной:взрослым мужчиной}, и весь мир вокруг вас изменился. Вы стали студентом в университете одного из больших городов, изучали теологию, философию и медицину. Но не все уроки вы получали в стенах учебного заведения. Иногда вы с друзьями отправлялись гулять по улицам в поисках вина, женщин и хорошей драки. Благодаря этому вы научились вправлять сломанные челюсти и уговаривать разъяренных торговцев убрать дубину и принять денежную компенсацию за разгромленную лавку.
qstr_Though_the_distinction_f|Хотя вы и не сразу это заметили, но со временем вы повзрослели, и весь мир вокруг вас изменился. Дорога манила вас, и вы принялись путешествовать от одной деревни к другой, покупая и продавая все, что могли. Сначала вы были не очень богаты, но постепенно научились торговаться даже с самыми скупыми стариками. Скоро вы должны были накопить достаточно, чтобы основать собственную торговую империю...
qstr_Though_the_distinction_fe|Хотя вы и не сразу это заметили, но со временем вы повзрослели, и весь мир вокруг вас изменился. Вы выбрали кузнечное ремесло и стали создавать из простого металла невероятно красивые и полезные вещи. Со временем вы стали настоящим мастером, и за вашу работу стали давать хорошие деньги. Сидя вечером у камина после сытного ужина, вы с гордостью размышляли о своей работе и растущей репутации.
qstr_Though_the_distinction_fel|Хотя вы и не сразу это заметили, но со временем вы повзрослели, и весь мир вокруг вас изменился. Вас не привлекала погоня обывателей за деньгами, и вы решили отправиться в леса вашего местного правителя и заработать себе на жизнь в одиночку, презрев законы. Вы охотились на оленей, кабанов, гусей, а потом втихаря продавали ценное мясо. Вы рубили деревья прямо под носом у лесничих, чтобы люди могли обогреть свои дома зимой - тоже, разумеется, за деньги.
qstr_Only_you_know_exactl|Только вы можете точно сказать, что заставило вас покинуть свою прежнюю жизнь и отправиться на поиски приключений. Однако ярость, бушевавшая в вашем сердце, сделала расставание с прошлым весьма легким. Вы хотите отомстить. Вы хотите справедливости. То, что с вами сделали, уже ничем не исправить, и заплатить за это можно только кровью...
qstr_Only_you_know_exactly|Только вы можете точно сказать, что заставило вас покинуть свою прежнюю жизнь и отправиться на поиски приключений. Вы не могли больше оставаться на прежнем месте и жить с воспоминаниями о тех, кто был вам безумно дорог. Возможно, ваша новая жизнь позволит вам забыть или восславить имена, которые вы больше не в силах произнести...
qstr_Only_you_know_exactly_|Только вы можете точно сказать, что заставило вас покинуть свою прежнюю жизнь и отправиться на поиски приключений. Но даже вы не можете толком сказать, когда ваш дом вдруг стал тюрьмой, все окружающее приелось, и все ваши помыслы заняли странствия. Что бы вы ни встречали в новом месте, вы нигде не могли оставаться подолгу. Вы просто шли вперед, никогда не оглядываясь...
qstr_Only_you_know_exactly_w|Только вы можете точно сказать, что заставило вас оставить прежнюю жизнь и отправиться на поиски приключений. Однако вы точно знаете, что назад пути уже нет, да и возвращаться не к чему. Дома, каким бы он у вас ни был, уже нет, и вам придется признать тот факт, что вы остались совершенно одни во всем мире. Теперь вы либо утонете, либо научитесь плавать...
qstr_Only_you_know_exactly_wh|Только вы можете точно сказать, что заставило вас покинуть свою прежнюю жизнь и отправиться на поиски приключений. Все вокруг уверены, что вы следуете за какой-то неясной целью. Вы ищите богатств, власти, уважения... Вы хотите, чтобы вам спешили повиноваться, чтобы ваше имя знали все и чтобы один его звук повергал людей в дрожь. Вы желаете всего и сразу и не позволите никому помешать вам!
qstr_Back_to_the_beginnin|К началу...
qstr_View_next_segment...|Следующая часть...
qstr_^No_food:___{reg7}|^Нет еды:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Задолженность:  -{reg6}
qstr_On_loan|Взаймы.
qstr_Appoint_next_marshal|Назначить следующего главнокомандующего
qstr_Award_{s12}_as_fief|Выдать надел {s12} в награду
qstr_No_one|Ни одного
qstr_Selected_faction_is:|Выбранная фракция: {s10}^^{s9}
qstr_You_are_currently_re|Вы читаете книгу под названием {s8}.
qstr_You_are_not_reading_|Вы не читаете книг.
qstr_none|нет
qstr_{s5}_and_{s6}|{s5} и {s6}
qstr_Your_estates_are:_{s|Ваши поместья: {s8}.^{s9}
qstr_Current_party_size_l|Максимальный размер отряда - {reg5}.^На него влияют:^^Базовый размер: +30^Лидерство: {s2}{reg1}^Харизма: {s3}{reg2}^Известность: {s4}{reg3}^ВСЕГО: {reg5}
qstr_Loyal|Верные
qstr_Devoted|Преданные
qstr_Fond|Теплые
qstr_Gracious|Любезные
qstr_Friendly|Дружелюбные
qstr_Supportive|Поддерживающие
qstr_Favorable|Благосклонные
qstr_Cooperative|Отзывчивые
qstr_Accepting|Приемлемые
qstr_Indifferent|Безразличные
qstr_Suspicious|Подозрительные
qstr_Grumbling|Неприветливые
qstr_Hostile|Враждебные
qstr_Resentful|Возмущенные
qstr_Angry|Сердитые
qstr_Hateful|Ненавидящее
qstr_Revengeful|Злопамятные
qstr_Vengeful|Мстительные
qstr_Your_relation_with_t|Ваши отношения с фракциями:^{s2}
qstr_Player_renown_is_inc|Известность игрока увеличилась на 100.
qstr_Player_honor_is_incr|Честь игрока увеличилась на 1 и сейчас равна {reg7}.
qstr_{reg1}_{s1}_{reg2?ac|{reg1} человек из {s1} принимают предложение.
qstr_No_one_accepts_the_o|Никто не принял предложение.
qstr_You_start_reading_{s|Вы заглядываете в книгу под названием {s2}. Просмотрев несколько страниц, вы понимаете, что из нее вы сможете многое почерпнуть. Вы решаете держать ее поблизости и читать всякий раз, когда будет время.
qstr_You_flip_through_the|Вы пролистываете книгу под названием {s2}, но текст оказывается слишком сложным для вас. От внимательного чтения начинает болеть голова, и вы вынуждены прекратить.
qstr_Villagers|Селяне
qstr_You_have_encountered|На вашем пути {s1}.
qstr_You_have_engaged_{s1|Вы вступили в бой с {s1} когда они нападали на {s3}.
qstr_You_were_caught_by_{|{s1} поймали вас, когда вы напали на {s3}.
qstr_You_were_victorious!|Вы победили!
qstr_Battle_was_lost._You|Вас победили. Ваше войско наголову разбито.
qstr_Your_companions_carr|Ваши спутники выносят вас из поля боя.
qstr_You_have_defeated_th|Вы победили врага.
qstr_You_have_retreated_f|Вы отступили с поля боя.
qstr_^^Ally_Casualties:{s|^^Потери союзников:{s0}
qstr_{s1}_of_{s3}_managed|{s1} из {s3} удалось скрыться.
qstr_Some_of_your_tendons|В бою вы повредили сухожилия. Ваша сила уменьшилась на 1.
qstr_You_took_a_nasty_wou|Вы получили неприятную рану. Даже после того как она затянется, вы еще долго будете прихрамывать. Ваша ловкость уменьшилась на 1.
qstr_You_have_trouble_thi|После боя вы никак не можете собраться с мыслями. Возможно, виной тому полученный удар по голове. Кроме этого теперь вас стали мучить головные боли. Ваш интеллект уменьшился на 1.
qstr_Perhaps_I_m_getting_|Возможно, удача отвернулась от меня...
qstr_Retirement_is_starti|Отставка становится все более заманчивой.
qstr_No_matter!_I_will_pe|Ничего! Переживу!
qstr_What_did_I_do_to_des|За что мне все это?
qstr_I_suppose_it_ll_make|Что ж, по крайней мере будет, что рассказать.
qstr_{s9}_wants_you_to_fo|{s9} хочет, чтобы вы следовали за его армией и ждали дальнейших распоряжений.
qstr_{s8}_of_{s9}|{s8} из {s9}
qstr__Your_own_banner_fli| Над воротами замка реет ваш флаг.
qstr__You_see_the_banner_| Над воротами замка вы видите флаг {s7}.
qstr__Your_own_banner_flie| Над городскими воротами реет ваш флаг.
qstr__You_see_the_banner_o| Над воротами города вы видите флаг {s7}.
qstr_The_{reg6?town_s:cas|Запасов еды в {reg6?городе:замке} хватит еще на {reg3} дней.
qstr_The_{reg6?town_s:cast|Запасы еды в {reg6?городе:деревне} закончились, и защитники умирают от голода.
qstr_You_re_preparing_to_|Вы готовитесь атаковать стены, подготовка закончится через {reg9} часов.
qstr_Your_forces_are_buil|Ваши войска строят осадную башню. На завершение постройки им понадобится еще {reg9} часов.
qstr_You_are_ready_to_att|Вы готовы атаковать стены в любой момент.
qstr_The_siege_tower_is_b|Осадная башня готова, и ее можно использовать в бою.
qstr_As_a_last_defensive_|Собрав оставшиеся силы, вы отступаете в главный зал крепости. Здесь вы со своими солдатами дадите последний отчаянный бой. Если вы потерпите поражение, отступать будет некуда.
qstr_You_ve_been_driven_a|Вы вынуждены отступить от стен, и враги заполняют улицы. Если вы победите их, то, возможно сумеете защитить свой замок.
qstr_You_ve_breached_the_|Вы пробились через стены, но защитники упрямо продолжают сдерживать вас на улицах! Придется разобраться с ними, прежде чем вы сможете напасть на крепость в центре города.
qstr_The_town_centre_is_y|Вы заняли центр города, но оставшиеся защитники укрылись в замке. Они должны пасть, чтобы ваша победа была полной.
qstr_The_remaining_defend|Последние защитники укрылись в замке. Вы должны войти туда и подавить последний очаг сопротивления.
qstr_However_since_you_ar|Однако {s9} не принимал от вас вассальной клятвы, поэтому в этом {reg8?городе:замке} вас не признают за {нового господина/новую госпожу}.
qstr_The_enemy_has_been_f|Враг был вынужден отступить. Битва закончена, но осада продолжается.
qstr_As_you_approach_you_|При приближении вы замечаете у замка стражников, которые приветствуют вас и открывают ворота для своего {короля/королевы}.
qstr_As_you_approach_you_a|При приближении вы замечаете у замка стражников, которые приветствуют вас и открывают ворота для своего {господина/госпожи}.
qstr__This_village_and_th| Эта деревня и прилегающие земли принадлежат вам.
qstr__You_remember_that_t| Вы вспоминаете, что эта деревня и прилегающие земли принадлежат {s7}.
qstr__These_lands_belong_| Эти земли никому не принадлежат.
qstr__The_village_is_infe| На деревню напали {s35} в количестве {reg8} человек.
qstr__The_village_has_bee| Эту деревню ограбили. Горстка людей в страхе разбегается, когда вы проходите мимо сожженных домов.
qstr__The_village_is_bein| На деревню совершено нападение!
qstr_No_one_here_seems_to|Никто не горит желанием присоединяться к вашему отряду.
qstr_One_{s3}_volunteers_|Один {s3} вызывается пойти с вами.
qstr_{reg5}_{s3}_voluntee|С вами вызываются пойти {reg5} {s3}.
qstr_Try_as_you_might_you|Как бы вы ни пытались, с бандитами вам не справиться. Чтобы проучить крестьян, они разносят деревню по камешку, и оставляя за собой выжженную землю устремляются к новым зеленым пастбищам.
qstr_village|деревню
qstr_town|город
qstr_castle|замок
qstr_The_{s17}_has_no_imp|В {s17} нет построек.
qstr_The_{s17}_has_the_fo|В {s17} имеются следующие постройки:{s18}.
qstr_The_assasins_beat_yo|Убийцы избивают вас и бросают, решив будто вы умерли.
qstr_You_have_fallen._The|Вы падаете. Бандиты быстро обыскивают ваше тело, забирают все  ценное и растворяются в темноте ночи. Впрочем, вы живы, и это главное.
qstr_Luckily_some_of_your|К счастью, ваши спутники, встревожившись из-за того, что вас долго нет, отправляются на поиски и находят вас у дороги. Они относят вас в безопасное место и перевязывают раны.
qstr_Luckily_some_passing|К счастью, несколько горожан находят вас у дороги и понимают, что вы не просто попрошайка или пьяница. Они относят вас на ближайший постоялый двор и перевязывают раны.
qstr_You_fail_to_steal_an|Вам не удается выкрасть скот.
qstr_You_drive_away_{reg1|Вы уводите из деревенского стада {reg17} {reg12?голов:голову} скота.
qstr_You_are_at_{s2}.|Вы находитесь в {s2}.
qstr__This_castle_has_no_| В этом замке нет гарнизона.
qstr__This_town_has_no_ga| В этом городе нет гарнизона.
qstr__You_have_successful| Вы успешно проскользнули внутрь.
qstr_{s13}_A_tournament_w|{s13} Скоро здесь будет турнир.
qstr___{reg1}_denars_per_| ({reg1} динаров за ночь)
qstr_Moreover_you_earn_{r|Кроме того, вы получаете {reg8} динаров , которые вы сами на себя поставили.
qstr_Victory_is_yours!_Yo|Победа за вами! Вы выиграли этот бой, но теперь вам нужно готовиться к следующему раунду.
qstr_You_have_been_bested|В этом бою вы потерпели поражение, но церемониймейстер признает вашу сноровку и храбрость, и позволяет вам принять участие в следующем раунде.
