qst_fake|Fake
qst_deal_with_night_bandits|Сделка с ночными бандитами {!}TODO: Мэр из {s14} попросил вас о зделки с ночными бандитами {s14}. 
qst_deliver_grain|Доставить пшеницу {s3} {!} Староста деревни {s3} попросил вас доставить {reg5} мешков пшеницы.. 
qst_deliver_cattle|Доставить {reg5} голов рогатого скота в {s3} {!}Староста деревни {s3} попросил вас доставить {reg5} голов рогатого скота. 
qst_train_peasants_against_bandits|Тренировать крестьян из {s13} для битвы с бандитами.
qst_eliminate_bandits_infesting_village|Спасти поселение {s7} от бандитов {!}Поселенец из {s7} умоляет вас спасти поселение от бандитов которые засели там. 
qst_visit_lady|Повидать Леди
qst_formal_marriage_proposal|Предложение руки и сердца 
qst_obtain_liege_blessing|Предложение руки и сердца 
qst_wed_betrothed|Теперь вы обручены
qst_wed_betrothed_female|Теперь вы обручены
qst_join_faction|Поклясться в верности {s1} {!}Найти {s1} и поклясться в верности. 
qst_rebel_against_kingdom|Помочь {s13} Завладеть престолом {s14}
qst_consult_with_minister|Проконсультируйтесь с министром {!}Проконсультируйтесь с министром, {s11}, в {s12} 
qst_organize_feast|Организавать праздника {!}Принесите товары для праздника, вашей супруг {s11}, в {s12} 
qst_resolve_dispute|Разрешение спора {!}Разрешите спор между {s11} и {s12} 
qst_offer_gift|Закупка подарков {!}Подарить {s10} подарок от {reg4?her:his} {s11}, {s12} 
qst_denounce_lord|Осудить Лорда {!}Осудить {s11} публично 
qst_intrigue_against_lord|Интрига против Лорда {!}Критиковать {s11} наедине 
qst_track_down_bandits|Поймать бандитов {!}{s9} из {s4} попросил поймать бандитов {s6}, которые нападают на путишественников на дороге. 
qst_track_down_provocateurs|Провокатор {!}{s9} из {s4} попросил нанять группу бандитов, чтобы создать инцидент между {s5} и {s6}. 
qst_retaliate_for_border_incident|Отомстить за инцидент {!}{s9} из {s4} попросил сразиться с {s5} из {s7}, дабы урегулировать конфликт с {s8}. 
qst_raid_caravan_to_start_war|Напасть на караван спровоцировав войну
qst_cause_provocation|Предоставить Королевству повод для войны
qst_rescue_prisoner|Спасти или выкупить узника
qst_destroy_bandit_lair|Уничтожить логово бандитов {!}{s9} из {s4} попросил вас найти {s6} и уничтожить. 
qst_kennemer_jarl|Месть: Поговорить с Ярлом Кэннемера.
qst_kennemer_jarl_missions|Месть: Работа на Ярла.
qst_kennemer_mission_1|Миссия Ярла: Суд в монастыре.
qst_kennemer_mission_2|Миссия Ярла: Тиадерт должен умереть. 
qst_kennemer_mission_3|Миссия Ярла: Убить Короля.
qst_reginhard_donations|Требование Регинхарда: Пожертвование для ветеранов.
qst_recruit_an_army|Миссия Ярла: Нанять воинов.
qst_doccinga_assault|Атака Викингов: Спасти Доккингу от осады Свена.
qst_doccinga_interrogation|Атака Викингов: Допросить Викинга. 
qst_getting_ship|Атака Викингов: Лодка и девушка.
qst_notes_companions|Записи Компаньонов.
qst_notes_global|Ваши записи.
qst_notes_frisa|Ваши записи о Фризии. 
qst_notes_danmork|Ваши записи о Дании.
qst_notes_englaland|Ваши записи об Англии.
qst_sven_lair|Месть: Логово Волков.
qst_danmork_protection|Месть: Под крылом короля Орэка. 
qst_revenge_sigurd|Месть: Спросите Сигурду о Змеином-Глазе. 
qst_collect_smen|Миссия Сигурда: Собрать армию для Сигурда.
qst_bodo_letter|Месть: Получить самое важное письмо. 
qst_the_holmgang|Хольмганг: Убийство Хирдмана.
qst_the_fleet|Месть:Вторжение в Англию.
qst_sven_traitor|Месть:Свен Предатель.
qst_wessex_foragers|Осада: Фуражиры Саксов.
qst_the_messengersn|Осада: Посланник.
qst_the_alliance|Месть: Союз.
qst_welsh_and_pictish|Завоеватель: Найти предлог.
qst_cathach_colum|Стать Викингом: 'Катах из Колум Силлы'. 
qst_entregando_pieles|Стать Викингом: Торговля в Фризии.
qst_revenge_exchange|Месть: Ферма.
qst_ulf_testigo|Спастись: Ухаживание Фермеры и Ярла.
qst_the_thing|Месть: Собрание. 
qst_douar_an_enez|Месть: Доуар Энез. 
qst_aescesdun|Ьитва: Аэскесдун.
qst_svenbn_final|Месть:Свен Бычья-Шея.
qst_old_roman|Адрианов Вал: Спасти голодающих.
qst_vc_menu|Системное меню Viking Conquest.
qst_vc_wounds|Система повреждений Viking conquest.
qst_sea_battle_spawn|система возрождения.
qst_team_0_ships|система возрождения.
qst_team_1_ships|система возрождения.
qst_blank_quest_6|Захватите и приведите {reg5} женщин к {s3}
qst_collect_men|Месть: Посетить Доккингу. 
qst_learn_where_merchant_brother_is|Месть: Поговорить с Ярлом Кэннемера. 
qst_save_relative_of_merchant|Напасть на догово бандитов. 
qst_save_town_from_bandits|Спасти город от бандитов. 
qst_quests_end|Конец квеста
