qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_Level:_{reg4}_^Days_|Уровень: {reg4} ^Дней в приключении: {reg5}.
qstr_Settlements_Owned_by|Города завоеванные вами: {reg0}
qstr_Hostile_Lords:_{reg0|Враждебные Лорды: {reg0}
qstr_You_need_to_be_the_r|Вы должны быть правителем фракции для того, чтобы получить доступ к панели управления Королевством.
qstr_^^^^Wounds_Informati|^^^^Инфо  Раны:^^{s3}^^----------^^{s4}^^----------^^{s5}^^----------^^{s6}
qstr_Resume_Traveling|Итог
qstr_You_already_have_a_r|У вас уже есть построенное убежище.Разруште предыдущее что-бы построить здесь.
qstr_Injuries:^^none|Травмы:^^ни одиной
qstr_Injuries:^^{s1}A_phy|Травмы:^^{s1}Врач в большом городе сможет вылечить раны.
qstr_Healing_wounds:^^non|Залечинные Раны:^^ни одиной
qstr_Healing_wounds:^^{s1|Залечинные Раны:^^{s1}Эти раны были обработаны и затянулись самостоятельно.
qstr_Lifetime_wounds:_{re|Срок зажевления Ран: {reg1} очень долгий.
qstr_Healing_wounds:^^non|Зажившие Раны:^^ни одиной
qstr_Healing_wounds:^^{s1|Зажившие Раны:^^{s1}Эти раны были обработаны и затянулись самостоятельно.
qstr_Scars:^^none|Шрамы:^^ни одиного
qstr_Scars:^^{s1}These_in|Шрамы:^^{s1}Эти травмы стали постоянными, и теперь не могут быть вылечены.
qstr_Report:_^^_{s19}|Отчет: ^^ {s19}
qstr_{s22}^^Friends:_^{s8|{s22}^^Друзья: ^{s8} ^^Враги: ^{s6}^{s19}
qstr_{reg1}.0|{reg1}.0
qstr_{reg1}.00{reg2}|{reg1}.00{reg2}
qstr_{reg1}.0{reg2}|{reg1}.0{reg2}
qstr_{reg1}.{reg2}|{reg1}.{reg2}
qstr_Ready|в бою
qstr_Wounded|ранено
qstr_Dead|убито
qstr_Done|Cделано
qstr_1000_denars|1000 шиллингов
qstr__Continue_|Продолжить 
qstr_castle|скот
qstr_food_stores.|амбары.
qstr_town|городе
qstr_village|деревне
qstr_cattle.|скот.
qstr_cattle|скот.
qstr_You_prepare_a_messag|You prepare a message for your spy in {s1}, ordering him to .....
qstr_You_prepare_a_messag|Вернуться
qstr_You_prepare_a_messag|Эффект Показателей
qstr_Companions_Info:^^_{|Инфо Компаньонов:^^ {s19} ^^-----------^^ Сейчас:^^ {s7}{s1}
qstr_TOTAL_SCORE:_{reg0}|Общий Счет: {reg0}
qstr_None|ни одиного
qstr__is_not_present.| не готов
qstr__capacity_is_{reg2}.|вместит еще {reg2}.
qstr__As_you_look_over_th|Осматривая место недавнего побоища, вы решаете, что должны сделать еще кое-что.
qstr_have_your_troops_bur|Похоронить или сжечь тела, перевязать раны и собрать трофеи.
qstr_You_estimate_that_it|Это займет 3 часа.
qstr_leave_the_dead_to_ro|Обобрать мертвецов и оставить их гнить.
qstr_You_estimate_that_it_|Это займет 1 час.
qstr_bury_or_burn_the_dea|Похоронить или сжечь тела, перевязать раны и оставить добычу мародерам.
qstr_You_estimate_that_it_w|Это займет 2 часа.
qstr_leave_this_place_as_|Оставить все как есть и продолжить путь.
qstr__Supply_wagon{s16}|Обоз {s16}
qstr__No_one| Никто
qstr__None_| ни одиного
qstr_Name:_{s1}^Level:_{r|Наименование: {s1}^Уровень: {reg1}
qstr_Name:_^{playername}|Имя:_^{playername}
qstr_Name_^{playername}|Имя^{playername}
qstr_{s1}^HP:_{reg0}|{s1}^здоровье: {reg0}
qstr_Attributes:|Характеристики:
qstr_{s3}^STR:_{reg1}^INT|{s3}^СИЛ: {reg1}^ИНТ: {reg2}^^Навыки:
qstr_{s3}^Power_Strike:_{|{s3}^мощный удар: {reg1}^мощный выстрел: {reg2}^мощный бросок: {reg3}^стрельба верхом: {reg4}^^Мастерство:
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^одноручное: {reg1}^двуручное: {reg2}^древковое: {reg3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^ЛОВ: {reg1}^ХАР: {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^железная кожа: {reg1}^атлетика: {reg2}^владение щитом: {reg3}^верховая езда: {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^луки: {reg1}^арбалеты: {reg2}^метательное: {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|Экипировка: 
qstr__Return_to_menu_|Назад 
qstr_Strength|сила
qstr_Strength.|сила
qstr_Riding|в.езда
qstr_Pdraw|м.выстрел
qstr_Pthrow|м.бросок
qstr_1_hand|одноруч.
qstr_2_hand|двуруч.
qstr_Polearm|древк.
qstr_Archery|лук
qstr__X_bow_|арбалет
qstr_Throwing_|метатель. 
qstr___Others|праща
qstr__Mode|передвиж.
qstr__to_next_lvl_|след.ур.
qstr___Weapons_| -Оружие-
qstr___Armor_| -Защита-
qstr_________________n/a_|                нет                
qstr_{s9}|{s9}
qstr_Rides|верхом
qstr_Walks|пешком
qstr__Quick_View_|Быстрый обзор
qstr_______|      
qstr_Attributes|Характеристики
qstr_Skills|Навыки
qstr_Proficiencies|Мастерство
qstr_STR:|СИЛ:
qstr_AGI:|ЛОВ:
qstr_INT:|ИНТ:
qstr_CHA:|ХАР:
qstr_Health:|Здоровье:
qstr_Level:|Уровень:
qstr_To_next_lvl:_|след. уровень: 
qstr_Ironflesh^Power_Stri|железная кожа^мощный удар^мощный бросок^мощный выстрел^владение оружием^владение щитом^атлетика^верховая езда^стрельба верхом^мародерство^наставник^следопыт^
qstr_Tactics^Path_finding|тактика^поиск пути^наблюдательность^упаковка^лечение ранений^хирургия^первая помощь^инженерия^убеждение^содержание пленных^лидерство^торговля
qstr_10|10
qstr_One_Handed_Weapons:^|одноручное оружие:^^двуручное оружие:^^древковое оружие:^^стрельба из лука:^^стрельба из арбалета:^^метательное оружие:^^стрельба из пращи:
qstr_350^^350^^350^^350^^|350^^350^^350^^350^^350^^350^^350
qstr__{reg1}_| {reg1} 
qstr__100%__| 100%  
qstr__30_| 30 
qstr__3333333333_| 3333333333 
qstr__Weapons_|-Оружие-
qstr__Armor_|-Защита-
qstr_n/a|нет                                
qstr_{s9}_feels...|{s9} испытывает...
qstr_{s6}|{s6}
qstr_your_choice_of_compa|выбора спутников,
qstr_{s7}|{s7}
qstr_your_style_of_leader|вашего стиля руководства и
qstr_the_general_state_of|общего состояния дел.^------------------------------
qstr_Morale:_____________|Morale:                       ^^Origin:          
qstr_State:______________|State:                       
qstr_Startpage_set__Exten|Startpage set (Extended View)
qstr__Faction_Relations_R|Отчет об отношениях с фракциями 
qstr_Player^Relation|отношение^к игроку
qstr_Status|статус
qstr_Relation|отношение
qstr_War|война
qstr_Casus_Belli|повод начать войну
qstr_Peace|мир
qstr_Truce|перемирие
qstr_Alliance|союз
qstr_Defense_Pact|оборонительный договор
qstr_Trade_Agreement|торговый договор
qstr_{s60}|{s60}
qstr_{reg59?{reg59}_days:|{reg59?{reg59} дней:}
qstr_{reg61}|{reg61}
qstr_Loyal|Преданны
qstr_Devoted|Верны
qstr_Fond|Приветливы
qstr_Gracious|Обходительны
qstr_Friendly|Дружелюбны
qstr_Supportive|Поддерживают
qstr_Favorable|Благожелательны
qstr_Cooperative|Сотрудничают
qstr_Accepting|Открыты
qstr_Indifferent|Безразличны
qstr_Suspicious|Недоверчивы
qstr_Grumbling|Недовольны
qstr_Hostile|Враждебны
qstr_Resentful|Возмущенны
qstr_Angry|Гневные
qstr_Hateful|Ненавидящие
qstr_Revengeful|Мстительны
qstr_Vengeful|Чрезвычайно мстительны
qstr_{reg61}_{reg58?_{reg|поселения: {reg61} {reg58?({reg58} U) :}
qstr_{reg62}_Caravans|караваны: {reg62}
qstr_{reg60}_{reg59?_{reg|лорды: {reg60} {reg59?({reg59} P) :}
qstr__Courtships_in_progr|Ухаживания
qstr__Known_Lords_by_Rela|Знакомые лорды 
qstr__Character_&_Compani|Персонаж и его спутники
qstr__Done_|Готово
qstr_Your_supporters|Поддерживающие вас
qstr_Centware|Кантваре
qstr_Suth_Seaxna|Сассекс
qstr_East_Seaxna|Эссекс
qstr_East_Englas|Восточная Англия
qstr_Gewissae|Гевиссе
qstr_Hwicce|Хвикке
qstr_All_Cultures|Все королевства
qstr_Dumnonia|Думнония
qstr_Mierce|Мерсия
qstr_Ynys_Manaw|Инис Манау
qstr_Pengwern|Пенгверн
qstr_Goutodin|Гододин
qstr_Bernaccia|Берникия
qstr_Lindisware|Линдисваре
qstr_Reghed|Регед
qstr_Crafu|Крави
qstr_Connaught|Коннахт
qstr_Alt_Clut|Альт Клут
qstr_Dal_Riata|Дал Риада
qstr_Cait|Кайт
qstr_Ceredigion|Кередигион
qstr_Powys|Повис
qstr_Gwynedd|Гвинед
qstr_Dyfed|Дивед
qstr_Brycheiniog|Брихейниог
qstr_Gwent|Гвент
qstr_Laigin|Лагин
qstr_Desmumu|Мума
qstr_Ulaid|Улад
qstr_Ui_Neill|И Нейл
qstr_Airgialla|Аргиалла
qstr_F4___Formation_types|F4 - Построения
qstr_F4___Ranks|F4 - Линия
qstr_F5___Shieldwall|F5 - Стена щитов
qstr_F6___Wedge|F6 - Клин
qstr_F7___Square|F7 - Каре
qstr_F8___No_Formation|F8 - Свободное построение
qstr_F5___One_Handers|F5 - Одноручное
qstr_F6___Two_Hands_&_Pol|F6 - Двуручное и древковое
qstr_F7___Ranged|F7 - Дистанционное
qstr_F8___Shields|F8 - Щиты
qstr_F5___Skirmish|F5 - Дальний бой
qstr_F6___Melee|F6 - Ближний бой
qstr_{s1}_of_{s3}_was_def|{s1} из королевства {s3} проиграл битву, но смог избежать пленения
qstr_nowhere|нет земель
qstr_{s57}_and_{s58}|{s57} и {s58}
qstr_{reg3?She:He}|{reg3?Она:Он}
qstr_{s7}_and_{s8}|{s7} и {s8}
qstr_{s2}Its_prosperity_i|{s2}Благосостояние: {s50}
qstr_noone|никто
qstr_{s9}_and_{s10}|{s9} и {s10}
qstr_{s5}_has_been_defeat|Королевство {s5} завоевано!
qstr_+{reg1}_to_party_mor|+{reg1} к боевому духу отряда
qstr_Heavy_Amor:_High_Pen|тяжелые доспехи: высокие штрафы к некоторым навыкам
qstr_Medium_Armor:_Penalt|средние доспехи: штрафы к некоторым навыкам
qstr_Heavy_Equipment:_Pen|тяжелое снаряжение: штрафы к некоторым навыкам
qstr_Ritual_Equipment:_Ad|ритуальное снаряжение: повышение некоторых навыков
qstr_The_sword_of_Rhydder|Меч короля Ридерха Доброго, одно из тринадцати сокровищ Британии.
qstr_This_is_the_sword_wh|Этот меч Унферт дал Беовульфу перед встречей с матерью Гренделя.
qstr_Advantages_in_certai|повышение некоторых навыков
qstr__Donkeys:_Improve_in|осел: повышение навыка упаковки
qstr_Requires_{reg1}_inte|для чтения требуется значение интеллекта {reg1}
qstr_Reading_Progress:_{r|вы прочли: {reg1}%
qstr_+1_to_{s1}_while_in_|+1 к {s1}, пока находится в инвентаре
qstr__^| ^
qstr__2_speed^_2_maneuver|скорость: -2^маневренность: -2
qstr__5_speed^_5_maneuver|скорость: -5^маневренность: -5
qstr_+3_armor^+4_charge^+|защита: +3^натиск: +4^здоровье: +10
qstr__1_requirement_of_ri|требования к верховой езде: -1
qstr_+1_requirement_of_ri|требования к верховой езде: +1^здоровье: +5
qstr_+1_speed^+1_armor^+1|скорость: +1^защита: +1^натиск: +1
qstr_+2_requirement_of_ri|требования к верховой езде: +2^скорость: +2^защта: +2^натиск: +2
qstr__56_hit_points^_4_re|прочность: -56^сопротивление: -4
qstr__26_hit_points^_2_re|прочность: -26^сопротивление: -2
qstr_+47_hit_points^+2_re|прочность: +47^сопротивление: +2
qstr_+83_hit_points^+4_re|прочность: +83^сопротивление: +4
qstr___| -
qstr__+| +
qstr_{reg1?{s1}{reg4}_to_|{reg1?{s1}{reg4} к защите головы^:}{reg2?{s1}{reg4} к защите туловища^:}{reg3?{s1}{reg4} к защите ног:}
qstr_{reg1?_5_swing_damag|{reg1?рубящий урон: -5^:}{reg2?колющий урон: -5^:}
qstr_{reg1?_3_swing_damag|{reg1?рубящий урон: -3^:}{reg2?колющий урон: -3^:}
qstr_{reg1?_3_swing_damage|{reg1?рубящий урон: -3^:}{reg2?колющий урон: -3^:}скорость: -3
qstr_{reg1?_1_swing_damag|{reg1?рубящий урон: -1^:}{reg2?колющий урон: -1^:}
qstr_{reg1?+3_swing_damag|{reg1?рубящий урон: +3^:}{reg2?колющий урон: +3^:}скорость: +3
qstr_{reg1?+4_swing_damag|{reg1?рубящий урон: +4^:}{reg2?колющий урон: +4^:}
qstr_{reg1?+5_swing_damag|{reg1?рубящий урон: +5^:}{reg2?колющий урон: +5^:}скорость: +1{reg3?^требования к силе: +4:}
qstr_{reg1?+2_swing_damag|{reg1?рубящий урон: +2^:}{reg2?колющий урон: +2^:}скорость: -2{reg3?^требования к силе: +1:}
qstr__5_damage|урон: -5
qstr__3_damage^_3_speed|урон: -3^скорость: -3
qstr_+3_damage^_3_speed{r|урон: +3^скорость: -3{reg3?^требования к мощному выстрелу: +2:}
qstr_+5_damage^+1_speed{r|урон: +5^скорость: +1{reg3?^требования к мощному выстрелу: +4:}
qstr_+13%_max_ammo|количество: +13%
qstr_+2_damage^_2_speed{r|урон: +2^скорость: -2{reg3?^требования к мощному броску: +1:}
qstr_+3_damage^+3_speed|урон: +3^скорость: +3
qstr__3_damage|урон: -3
qstr__{s61}_{s62}_| {s61}({s62})
qstr_killed_or_seriously_|убито или серьезно ранено
qstr_minor_wounded|легко ранено
qstr_{s0}^TOTAL:_{reg3}__|{s0}^Всего: {reg3} ({s2})
qstr_^None|^Нет
qstr_nothing|ничего
qstr_{reg0}_village{reg1?|{reg0} деревня {reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} замок {reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} замок {reg1?s:} и {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} город {reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} город {reg1?s:} и {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} город {reg1?s:}, {s0}
qstr_Your_opponents_are_r|Ваш противник готов к бою.
qstr_Battle_Advantage_=_{|боевое преимущество = {reg0}.{s1}
qstr_{s9}_wants_you_to_re|{s9} wants you to resume following his army until further notice.
qstr_pt_in_{s11}|pt in {s11}
qstr__Being_Raided_|(разграбляется)
qstr__Looted_|(разграблена)
qstr__Under_Siege_|(в осаде)
qstr_The_village_of_{s1}_|{s2} разграбил деревню {s1}
qstr_{s3}_is_no_longer_un|{s3} больше не в осаде
qstr_Small_bands_of_enemi|небольшой отряд противника замечен вблизи {s1}
qstr_Enemy_patrols_spotte|вражеский патруль замечен вблизи {s1}
qstr_Medium_sized_group_o|средних размеров отряд противника замечен вблизи {s1}
qstr_Significant_group_of|крупный отряд врагов замечен вблизи {s1}
qstr_Army_of_enemies_spot|армия врага замечена вблизи {s1}
qstr_Large_army_of_enemie|большая армия врага замечена вблизи {s1}
qstr_Great_host_of_enemie|огромная армия врага замечена вблизи {s1}
qstr_{s1}_is_the_new_mars|{s1} -- новый главнокомандующий королевства {s2}
qstr_You_gained_{reg12}_r|вы получаете {reg12} к славе
qstr_You_lose_{reg12}_ren|вы теряете {reg12} славы
qstr_Your_relation_with_{|{s1}: отношения улучшились
qstr_Your_relation_with_{s|{s1}: отношения ухудшились
qstr_You_gain_honour.|ваша честь возросла
qstr_You_lose_honour.|ваша честь снизилась
qstr_Now_player_honor_is_|текущая честь игрока: {reg1}
qstr_{s1}_has_declared_wa|королевство {s1} объявило войну королевству {s2}
qstr_{s1}_and_{s2}_have_m|королевства {s1} и {s2} заключили мир
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?был:находится} в поселении {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?направлялся:направляется} в место под названием {s3}, и {reg3?:в данный момент} {reg4?она {reg3?была:должна быть}:он {reg3?был:должен быть}} около поселения {s4}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?был:находится} в пути, и {reg3?:в данный момент} {reg4?она {reg3?была:должна быть}:он {reg3?был:должен быть}} около поселения {s3}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?был:находится} под стражей в поселении {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg4?{reg3?была пленена:взята в плен}:{reg3?был пленен:взят в плен}}.
qstr_{reg3?{s2}_s_locatio|{reg3?Неизвестно, где был {s2}:Я не знаю, где сейчас {s2}}.
qstr_{s6}_has_joined_your|{s6} присоединяется к вашему отряду!
qstr_Given_by:_{s62}|Выдал: {s62}
qstr_Given_on:_{s60}|Получено: {s60}
qstr_Very_Poor|очень низкое
qstr_Poor|низкое
qstr_Average|среднее
qstr_Rich|высокое
qstr_Very_Rich|очень высокое
qstr_Manor|поместье
qstr_A_manor_lets_you_res|В поместье вы можете встать на постой, при этом содержание войск обойдется вдвое дешевле.
qstr_Mill|мельница
qstr_A_mill_increases_vil|Мельница повышает благосостояние деревни на 5%.
qstr_Watch_Tower|смотровая башня
qstr_A_watch_tower_lets_t|Со смотровой башни можно раньше заметить противника. Налет на деревню занимает на 25% больше времени.
qstr_School|школа
qstr_A_school_increases_t|Школа улучшает отношение крестьян к вам (+1 в месяц).
qstr_Messenger_Post|почта
qstr_A_messenger_post_let|Почта позволяет жителям сообщить вам о приближении врага, где бы вы ни были.
qstr_Prison_Tower|тюремная башня
qstr_A_prison_tower_reduc|Пленники, содержащиеся в тюремной башне, имеют меньше шансов на побег.
qstr_Celtic_Christian_Mon|кельтский монастырь
qstr_Christian_Monastery|Монастырь
qstr_A_monastery_promotes|Возведите это строение во славу Господа (население будет обращено в христианство).
qstr_Build_it_and_put_it_|Возведите это строение во славу Господа (население будет обращено в христианство).
qstr_Forest_of_the_Old_Ce|кельтская священная роща
qstr_Build_it_in_memory_o|Посадите рощу в честь предков и старых богов (население будет обращено в кельтское язычество).
qstr_Temple_of_god_Woden|храм Вотана
qstr_Build_it_to_spread_t|Возведите это строение во имя Вотана (население будет обращено в германское язычество).
qstr_Christian_Monastery|римский монастырь 
qstr_Christian_Church|римская церковь
qstr_Build_it_for_the_glo|Возведите это строение во славу Господа (население будет обращено в христианство).
qstr_Celtic_Christian_Chu|кельтская церковь
qstr_Temple_of_the_Old_Ce|храм кельтских богов
qstr_A_temple_promotes_pa|Возведите это строение во имя Одина (население будет обращено в язычество).
qstr_Temple_of_god_Odin|Храм бога Одина
qstr_Build_it_and_put_it_t|Посадите рощу в честь предков и старых богов (население будет обращено в кельтское язычество).
qstr_Shrine_of_Germanic_G|алтарь германских богов
qstr_Build_it_to_practice|Возведите это строение во имя Вотана, Векты, Бальдега, Касера и Витлега (население будет обращено в германское язычество).
qstr_Blacksmith|кузница
qstr_Build_it_to_facilita|Кузница облегчает производство оружия и инструментов (результат производства идет в казну).
qstr_Merchant_Guild_House|рынок
qstr_Build_it_to_please_t|Построив рынок, вы привлечете больше торговцев (повышает благосостояние). 
qstr_Library|библиотека
qstr_Erect_it_to_increase|Библиотека повысит уровень знаний жителей и впишет ваше имя в историю (повышает славу).
qstr_Prosperity_of_{s2}_h|{s2}: благосостояние стало {s4} (было {s3}).
qstr_{s12}_of_{s1}|Правитель королевства {s1}, {s12}
qstr_{s12}_of_{s2}|{s12} из королевства {s2}
qstr_{reg4}_killed_{reg5}|{reg4} убито, {reg5} ранено.
qstr_{s1}_Renown:_{reg40}|{s1}^слава: {reg40}, недовольство: {reg41}, честь: {reg42}, права на правление: {reg43}^вы {s44} королевства {s45}^{reg45?{reg46?ваш сеньор: {s46},{s47}:вы правитель королевства {s45}}:}^^друзья: ^враги: ^^владения:^  {reg50?{s50}:нет}
qstr_{s1}{s2}_{reg46?Repu|{s1}{s2} {reg46?Reputed to be {s42}:}^слава: {reg40}, недовольство: {reg41} {reg46?нетерпение: {reg43}:}^{s44}ский дворянин королевства {s45}^{reg46?сеньор: {s46}, отношение: {reg47}:правитель королевства {s45}}^^{reg48?пленник королевства {s48}:}^дней с последней встречи: {reg49}^^владения {reg51?(обещанные владения):}:^  {reg50?{s50}:нет}
qstr_none|нет
qstr_{s5}_patrol|патруль города {s5}
qstr_{s9}^^^Level:_{reg3}|{s9}^^^уровень: {reg3}^здоровье: {reg2}%^боевой дух: {reg4}
qstr_Morale:_{reg0}^^Orig|Боевой дух: {reg0}^^Место рождения: {s21}
qstr_State:_Riding|Способ передвижения: верхом
qstr_State:_On_foot|Способ передвижения: пешком
qstr_Briton|Бритт
qstr_Anglo_Saxon|Англо-Сакс
qstr_Scoto_Pict|Пикт
qstr_Angles|Англы
qstr_Irish|Ирландец
qstr_Jutes|Юты
qstr_Mercenaries|Наемники
qstr_Outlaws|Преступники
qstr_Others|Прочие
qstr_Foreigner|Иностранец
qstr_Frisian|Фриз
qstr_Norse|Норд
qstr_Male|Мужчина
qstr_Female|Женщина
qstr_Short|Маленький
qstr_Tall|Высокий
qstr_normal|Средний
qstr_Phlegmatic|Флегматик
qstr_Melancholic|Меланхолик
qstr_Choleric|Холерик
qstr_Sanguine|Оптимист
qstr_Wisdom|Мудрость
qstr_Fortitude|Стойкость
qstr_Temperance|Уравновешенность
qstr_Justice|Справедливость
qstr_Noble|Дворянин
qstr_Merchant|Торговец
qstr_Craftsman|Ремесленник
qstr_Priest|Священник
qstr_Peasant|Крестьянин
qstr_Outlaw|Разбойник
qstr_Martial_Arts|Боевым искусствам
qstr_Crafts|Ремеслу
qstr_Oratory|Красноречию
qstr_Stealing|Воровству
qstr_Farming|Фермерству
qstr_Landowner|Землевладелец
qstr_Hunter|Охотник
qstr_Traveler|Путешественник
qstr_Slave|Раб
