dialogsfile version 2
5526
dlga_port_chief_travel:close_window|К сожалению, в настоящее время в порту нет пассажирских кораблей.
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Теперь я буду атаковать тебя с разных направлений и ждать, пока ты не поставишь соответствующий блок. Постарайся поставить нужный блок как можно быстрее. ^^(Это упражнение легко выполнять с настройкой "автоматическое направление блока", которая включена по умолчанию. Если в меню настроек изменить контроль направления защиты на "По движению мыши" или "С клавиатуры", то придется выбирать направление блока самостоятельно. Это труднее, но интереснее. В таком случае это упражнение может оказаться весьма полезным.)
dlga_fighter_talk_train_parry_3:close_window|Давай начнем тренировку.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Вообще-то я хочу выбрать кое-что другое.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Тренировочный бой - прекрасное средство подготовиться к настоящему сражению. Мы будем драться, не стараясь убить друг друга, пока один из нас не упадет на землю. Конечно, так можно получить синяки, но это лучше, чем погибнуть от меча в первом же бою.
dlga_fighter_talk_train_combat_2:close_window|Давай начнем тренировку.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Вообще-то я хочу выбрать кое-что другое.
dlga_fighter_talk_train_combat_2a:fighter_pretalk|Вообще-то я хочу выбрать кое-что другое.
dlga_start:fighter_parry_try_again|Хорошо. У тебя получается отражать мою атаку. Возможно, тебе захочется повторить упражнение, но делать все быстрее. Повторить?
dlga_start:fighter_parry_try_again.1|Ну что, не очень-то получается? (Помните - для постановки блока нужно нажимать и удерживать правую кнопку мыши.) Повторить?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Да, давай попробуем еще раз.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Нет. Мне кажется, пока хватит.
dlga_start:fighter_parry_warn|Эй, дружище! Мы занимаемся защитой! Тебе нужно блокировать мои атаки, а не нападать на меня.
dlga_fighter_parry_warn:fighter_talk_train_parry|Извини. Давай начнем заново.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Извини. Мне нужно прервать занятие.
dlga_fighter_talk_leave_parry:close_window|Ладно, как скажешь.
dlga_start:fighter_combat_try_again|Ну что, не очень-то получается? Не переживай и постарайся не допускать таких ошибок в будущем. Хочешь повторить?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Да, давай попробуем еще раз.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Нет. Мне кажется, пока хватит.
dlga_fighter_talk_leave_combat:close_window|Ну тогда ладно. Скажи, когда передумаешь.
dlga_start:fighter_combat_try_again.1|Хорошая была тренировка! Тебе удалось победить меня, но в следующий раз я буду осторожнее. Хочешь повторить?
dlga_start:fighter_talk.2|Отлично! Теперь ты можешь начинать удар с любой стороны. Если хочешь, можно еще раз поработать над тем же самым, или займемся чем-нибудь другим.
dlga_start:archer_challenge_2|Неплохо. Совсем неплохо!!! Похоже, тебе удалось усвоить основы стрельбы из лука. А теперь попробуй повторить то же самое с арбалетом. Возьми вон тот арбалет с болтами и порази эти три мишени. По сравнению с луком, из арбалета стрелять легче, но после каждого выстрела его приходится перезаряжать.
dlga_start:archer_challenge_2.1|Хорошо. Из арбалета тебе стрелять тоже не трудно. Теперь нужно научиться обращаться с метательным оружием. Возьми вон те дротики и постарайся попасть в эти три мишени.
dlga_start:ranged_end|Ну что ж, теперь ты владеешь основами обращения со всеми тремя типами оружия дальнего действия. Остальное придет с практикой. Тренируйся каждый день, и место среди лучших стрелков Британии тебе обеспечено.
dlga_ranged_end:close_window|А теперь ты можешь поговорить с учителями ближнего боя или верховой езды, если еще не удалось этого сделать. Они тоже могут многому научить.
dlga_start:archer_talk|День добрый, дружище. Я обучаю искусству дальнего боя всякого, кто желает учиться. Если тебе нужен наставник, скажи мне, и я научу тебя обращаться с луком, арбалетом и дротиком.
dlga_archer_talk:archer_challenge|Да, покажи мне, как обращаться с оружием дальнего действия.
dlga_archer_talk2:close_window|Нет, не сейчас.
dlga_archer_talk:close_window|Нет, не сейчас.
dlga_archer_challenge:archer_challenge_2|Прекрасно. Сначала я дам тебе урок стрельбы из лука. Лук - это сложное оружие, но овладев им, ты сможешь стрелять быстро и метко. Возьми вон тот лук со стрелами и порази эти мишени.
dlga_archer_challenge_2:close_window|Хорошо, будет сделано.
dlga_archer_challenge_2:close_window.1|Минутку. Мне нужно сначала сделать кое-что еще.
dlga_start:horseman_melee_challenge_2|Надеюсь, тебе понравилась поездка. А теперь перейдем к заданию потруднее. Возьми вон то копье и проскачи, поразив по пути каждую мишень хотя бы раз.
dlga_start:horseman_melee_challenge_2.1|Неплохо! Тебе удалось поразить все цели верхом, а это нелегкая задача для начинающих. Теперь тебе нужно поразить мишени вдоль дороги, стреляя из лука. Если поразишь все мишени, можешь считать, что задание выполнено успешно.
dlga_start:horsemanship_end|Великолепно! Тебе удалось поразить все цели верхом. Продолжай тренироваться каждый день, и вскоре ты достигнешь высот мастерства.
dlga_horsemanship_end:close_window|А теперь ты можешь поговорить с тренерами ближнего боя или с тренером стрельбы, если еще не удалось это сделать. Перед настоящей битвой тебе нужно научиться всему.
dlga_start:horseman_talk|Добрый день! Я приехал сюда поупражняться в верховой езде, но мои старые кости разболелись не на шутку, так что, пожалуй, я сегодня отдохну. Если хочешь попрактиковаться, возьми мою лошадку. Для нее это будет неплохой разминкой.
dlga_horseman_talk:horseman_challenge|Да, мне хотелось бы потренироваться в верховой езде. 
dlga_horseman_talk:close_window|Хмм. Может, позже.
dlga_horseman_challenge:horseman_melee_challenge_2|Хорошо. Теперь я покажу тебе несколько упражнений, которые научат тебя пользоваться оружием из седла. Первое задание совсем простое: проедься по кругу в любом темпе. Когда освоишься в седле, возвращайся, и я скажу, что делать дальше.
dlga_horseman_melee_challenge_2:close_window|Хорошо, будет сделано.
dlga_horseman_melee_challenge_2:close_window.1|Минутку. Мне нужно сначала сделать кое-что еще.
dlga_tutorial_troop_default:close_window|Эй, я тут делом занимаюсь! Если тебе нужны советы по оружию дальнего боя, иди, поговори с тренером-стрелком.
dlga_start:lord_prison_break_confirm_3|Планы изменились?
dlga_start:lord_prison_break|Что происходит?
dlga_start:drunk_response|На что это ты пялишься?
dlga_start:drunk_response.1|Ты смотриш на меня?
dlga_player_duel_response:close_window|Столько крови...
dlga_player_duel_response:close_window.1|Лучше он, чем я.
dlga_drunk_response:drunk_fight_start|Знать бы... Вроде, на грязное животное.
dlga_drunk_response:drunk_fight_start.1|Простите великодушно. Приношу свои извинения.
dlga_drunk_fight_start:close_window|Я сотру эту ухмылку с твоей наглой рожи!
dlga_drunk_response:drunk_player_high_renown|Ты хоть представляешь, кто я?!
dlga_drunk_player_high_renown:drunk_fight_start|Что ж, если ищешь драки, то будет тебе драка!
dlga_drunk_player_high_renown:drunk_player_high_renown|Эммм... Вообще-то... Да, я узнаю вас, {господин/госпожа}. Прошу, примите мои извинения - это все выпивка виновата. Я уже ухожу...
dlga_drunk_player_high_renown:drunk_fight_start.1|Если вы хотите драки, вы получите ее!
dlga_drunk_player_high_renown:close_window|Мне так и показалось. Убирайся отсюда немедленно!
dlga_start:fistfight_response|Похоже, в случае чего, вы сможете отоварить врага по первое число. А коли так, есть у меня к вам один разговор.
dlga_fistfight_response:fistfight_response_2|Какой же?
dlga_fistfight_response_2:fistfight_response_2a|Хорошо, очень хорошо, что вам это интересно. Дело такое... Оно слегка запутанное, так что слушайте внимательно.
dlga_fistfight_response_2a:fistfight_response_3|Я предлагаю вам подраться - один на один, вы против соперника. Бой на кулаках и без брони, ясное дело. Я буду принимать на вас ставки, а выручку поделю пополам с победителем. Если проиграем, я возьму на себя убытки. Сами видите: вы ничего кроме здоровья не потеряете.
dlga_fistfight_response_3:fistfight_response_4|Только сделать все чинно-благородно, как на обустроенных ристалищах, не выйдет. Люди не станут делать ставки загодя, а будут стекаться на шум и только потом расставаться с деньгами. Да и ни к чему лишние премудрости: подвыпившая публика их не поймет.
dlga_fistfight_response_4:fistfight_response_4a|Как видите, главная выгода в том, что можно тянуть из зевак денежки всю дорогу, пока не кончится бой. Особенно хорошо, если кажется, будто кто проигрывает - тогда ставят против него. А потом хоп, и бьют уже другого бойца. Лучший способ получить денежки - это позволить хорошенько выбить из себя пыль и только потом как следует отдубасить соперника. Понятное дело, что как бы ни прошла схватка, в конце надо победить.
dlga_fistfight_response_4a:fistfight_response_5|Запомните и вот что, нельзя затягивать бой слишком надолго. Не ровен час, люди заподозрят подлог. Так что не забывайте мутузить друг друга. Помните - зрителям нужна кровь!
dlga_fistfight_response_5:fistfight_response_5a|Да, вот еще что: ваш противник не особо любит изыски, а потому хитрить не станет и по-простому попробует вам навалять. Так что сделать бой красивым придется вам.
dlga_fistfight_response_5a:fistfight_response_confirm|Ну, что вы на это скажете?
dlga_fistfight_response_confirm:close_window.1|У меня есть дела и поважнее.
dlga_start:ramun_introduce_1|Доброго дня, {молодой человек/красавица}.
dlga_ramun_introduce_1:ramun_introduce_2|Прошу простить, вы похожи на торговца, но я не вижу при вас товаров.
dlga_ramun_introduce_1:close_window|Неважно. 
dlga_ramun_introduce_2:ramun_introduce_3|Торговец? О, конечно, конечно же, я занимаюсь торговлей. Правда, мои товары немного отличаются от большинства других. Их приходится кормить и поить дважды в день, а еще они пытаются сбежать, когда от них отвернешься.
dlga_ramun_introduce_3:ramun_introduce_4|Скот?
dlga_ramun_introduce_4:ramun_introduce_5|Почти что. Мой товар движет всякое судно в океане. Суда идут на веслах, но весла сами собой не гребут...
dlga_ramun_introduce_5:ramun_introduce_6|Галерные рабы!
dlga_ramun_introduce_6:ramun_introduce_7|Именно! Торговый порт вроде этого просто не выжил бы без них. Суда теряют несколько пар рук в каждом плавании, поэтому рабы всегда нарасхват. Капитаны приходят ко мне, и платят они хорошо.
dlga_ramun_introduce_7:ramun_introduce_8|Откуда все эти рабы берутся?
dlga_ramun_introduce_8:ramun_introduce_9|Обычно я выкупаю у властей приговоренных преступников. Остальные - пленные со всех концов света. Их приводят ко мне, потому что я плачу лучше всех. Иногда я покупаю товар у каперов и других… частных лиц. При такой работе особо привередничать не приходится. У вас с собой случайно пленников нет?
dlga_ramun_introduce_9:ramun_introduce_10|У меня?
dlga_ramun_introduce_10:ramun_introduce_11|Ну да. Если вы хотя бы изредка высовываете нос из города, рано или поздно вам придется скрестить с кем-нибудь клинки. Бог даст - вы выйдете победителем. Почему бы этим не воспользоваться? Возьмите вашего противника живым и приведите ко мне. Я плачу по двадцать динаров за каждого пленного, и мне все равно, кто они и откуда.
dlga_ramun_introduce_11:ramun_introduce_12|Хмм. Я подумаю над вашим предложением.
dlga_port_chief_svenlair32:close_window|Тогда купите эту книгу. Меня не волнует, как вы его поймаете. Просто приведи его. И я предлагаю вам ремонт и обеспечение вашего корабля.Поездка в Eriuland долгая. И приведи достаточно людей для войны, достаточно Godelic чтобы победить. Недалеко от Чт Новичок.
dlga_port_chief_svenlair33:port_chief_svenlair4|Ну, не то, что интересный вариант? Мой клиент предлагает мне 10 000 шиллингов за книгу. А есть ли у вас такие деньги?
dlga_port_chief_svenlair4:port_chief_svenlair5|У меня есть деньги. Возьмите, и скажите мне, где скрывается Свен. 
dlga_port_chief_svenlair4:port_chief_svenlair31|К сожалению, нет таких денег. Я принесу книгу. Скоро Увидимся.
dlga_port_chief_svenlair5:port_chief_svenlair5_1|О, боже, ты богатый человек!Убежище здесь, в Дании, северо-Рибе, вверх по реке. Недалеко от Чт Новичок.
dlga_port_chief_svenlair5_1:port_chief2|Спасибо.
dlga_port_chief_bodoletter1:port_chief_bodoletter2|{s2}^^Почему ты всегда говоришь так громко? Ну, вы же меня знаете, я хороший источник информации, но все имеет свою цену.
dlga_port_chief_bodoletter2:port_chief_bodoletter3|{s2}^^Слушайте внимательно. Эта информация особенно ценна. Мы говорим о втором человеке в Дании, Сигурда Snake in the Eye.' Как насчет 12 000 шиллингов? Есть ли у вас такие деньги? Если нет, возможно, вы могли бы сделать мне небольшую услугу вместо денег. У меня есть клиент, которому нужно передать некоторые меха в Дабх Линн, в Eriuland. Почему бы вам не доставить меха? В свою очередь, я дам вам информацию.
dlga_port_chief_bodoletter3:port_chief_bodoletter_pieles|Хорошо, я сделаю это. 
dlga_port_chief_bodoletter3:port_chief_bodoletter4|О, у меня есть деньги. Вот они. Где он сейчас говори? 
dlga_port_chief_bodoletter3:port_chief_bodoletter7|Мы же старые друзья парень. Для старых деловых партнеров, вы сделаете скидку?
dlga_port_chief_bodoletter3:port_chief_bodoletter3_1|К сожалению, нет. Я вернусь скоро с деньгами. 
dlga_port_chief_bodoletter_pieles:close_window|Рад это слышать. Перейти к Дабх Линн и доставить меха с человеком по имени Хёгни. Он торговец там, вы найдете его легко. Я хотел бы предложить другие товары, которые могут быть проданы в те далекие земли с %. После того, как вы вернетесь сюда выполнив доставку, вы получите вашу информацию.
dlga_port_chief_bodoletter3_1:port_chief2|Приходите когда у вас будут деньги. У меня нет времени для нищих. Я звезда!
dlga_port_chief_bodoletter4:port_chief_bodoletter5|Вы не богатый человек! Ну, Атли Eiriksson в Northvegr. По крайней мере, это то, что один из его людей сказал, шлюха здесь. Видимо Атли несет что-то важное, что должно быть скрыто ... пока. Он прячется в пещере на северном побережье Northvegr, недалеко от Хордаланды.
dlga_port_chief_bodoletter5:port_chief2|Благодарствую.
dlga_port_chief_bodoletter7:port_chief_bodoletter8|Хм, хорошо скажу в этот раз, но никому не говори, у меня хорошая репутация и я не хочу ее испортить. 8000 шиллингов и эта информация остается между нами. Получил деньги?
dlga_port_chief_bodoletter8:port_chief_bodoletter9|Да, я знаю что делать. Схватите его. Где он? 
dlga_port_chief_bodoletter8:port_chief_bodoletter3_1|К сожалению не могу. Я вернусь скоро с деньгами.
dlga_port_chief_bodoletter9:port_chief_bodoletter5|Ну хорошо, но помните, что больше небудет скидки. Атли Eiriksson в Northvegr. По крайней мере, это то, что один из его людей сказал, шлюха вот.По-видимому Атли несет что-то важное, что должно быть скрыто ... на данный момент. Он ушел, чтобы скрыться в пещере на северном побережье Northvegr, недалеко Хордаланде. Далеко Чт Новичок.
dlga_port_chief_pieles:port_chief_bodoletter5|Мне нравится иметь дело с Вами. Ну, Атли Eiriksson в Northvegr. По крайней мере, это то, что один из его людей сказал, шлюха здесь. Видимо Атли несет что-то важное, что должно быть скрыто ... пока. Он ушел, чтобы скрыться в пещере на северном побережье Northvegr, недалеко Хордаланде. Далеко Чт Новичок.
dlga_start:port_prisoners|Кто ты чудовище?
dlga_port_prisoners:port_prisoners_2|Вы ищете работорговца? {s9} не будет процветать без моих рабов, так что если у вас есть какие-либо военнопленные я готов их купить.
dlga_port_prisoners_2:port_prisoners_3|Я привел вам некоторых заключенных.
dlga_port_prisoners_2:close_window|Прощайте.
dlga_port_prisoners_3:port_prisoners_4|Приятно слышать. Пошли.
dlga_port_prisoners_4:close_window|Мне приятно иметь дело с вами. 
dlga_start:port_r_2|Привет. Я  капитан-ветеран , который контролирует происходящее в порту {s9}. Если вы заинтересованы в найме безработных моряков, дайте мне знать. 
dlga_port_crew_talk:port_r_2|Есть что-нибудь еще, что я могу для вас сделать?
dlga_port_r_2:port_recruitsl|Я хочу набирать матросов.
dlga_port_recruitsl:port_crew_talk|Сейчас нет свободных моряков в порту в это время. Приходите позже, .
dlga_port_recruitsl:port_crew_talk.1|Я не думаю, что кому-то это будет интересно, .
dlga_port_recruitsl:port_recruits2|Я могу думать о {reg5}, которые я подозреваю, будет прыгать на шанс, если вы могли бы заплатить 40 шиллингов {reg7 каждый для своего оборудования: для его оборудования}. Вас это устраивает?
dlga_port_recruits2:port_crew_talk|Сказать , чтобы подготовился.
dlga_port_recruits2:port_crew_talk.1|Нет, не сейчас.
dlga_port_r_2:port_crew_fleetpr|Меня зовут {playername}...
dlga_port_crew_fleetpr:close_window|К сожалению я занят подготовкой лодки и комплектующих для флота. Если вам не нужны моряки, пожалуйста, оставьте меня в покое и вернитесь позже.
dlga_port_r_2:port_crew_fleet1|Меня зовут {playername}.Aetheling Aelfred прислал меня.
dlga_port_r_2:port_crew_fleet1.1|Меня зовут {playername}.Ярл Rathbarth прислал меня.
dlga_port_crew_fleet1:port_crew_fleet2|^^Привет {playername}.Я был уведомлен о вашем прибытии. Вы находитесь в составе флота направлявшегося в Франкию. Все готово к отплытию и ждет вас. 
dlga_port_crew_fleet2:the_fleetcrew1|Да, время пришло.Douar-an-Enez ждет меня.
dlga_the_fleetcrew1:close_window|Мне сказали путешествие будет недели, даже месяцы, так что удачи. Ваш флот ждет тебя на выходе из порта. Возьмите лодку и отправьтесь с ними.
dlga_port_crew_fleet2:close_window|Нет, мне нужно закончить некоторые дела. Я вернусь. 
dlga_port_r_2:close_window|Мне нужно идти.Прощайте
dlga_start:close_window.5|Почему вы ко мне пристали? Я занят! У меня нет времени на людей, как вы. Приходите в другой день. Или еще лучше, не приходите вообще.^^_______--Кажется, что Сигурд не желает принять вас сейчас. Вы должны будете искать другой путь, чтобы узнать информацию о Свене.--
dlga_start:kinghorik_quest_danmarkprot|Это хорошее место, подальше от любопытных ушей. Теперь говорите.
dlga_start:kinghorik_quest_revenge4|Это хорошее место, подальше от любопытных ушей. Теперь говорите.
dlga_start:kinghorik_quest_thething1|Привет {playername}.
dlga_start:svenbn_hunting1_1|Привет {playername},vinr.Благодаря вам, мы сегодня выиграли эту битву! Западная Саксония теперь наша! Но я думаю, вас больше волнует местонахождение Свена Бычьей Шеи, верно? Он ушел, но не далеко. Взял Рединге и сколотил крепость, мои люди дальше не последовали. Я поставил Хэрсир в моей уверенности, Arnvid, отвечающий за миссии. Встретиться в Рединге. Его люди в вашем распоряжении, если вы решили напасть на крепость.
dlga_start:svenbn_hunting1_1.1|Слава тебе {playername}!Датские Ярлы находятся в бегах и потеряли много в этой битве. Хотя еще многие из них ушли от нас, мы добились важной победы, и они не будут настолько смелым в будущем. У меня есть новости для вас. Свен Бычьей Шеи бежал обратно в Редингум и укрепился там. Мои люди, во главе с человеком по имени Эдрик, ждут и будут в вашем распоряжении, когда вы приедете.Момент вами! Перейти к Редингуму и решить проблему со Свеном бычьей шеей.
dlga_start:close_window.6|Извините я сейчас не могу говорить.
dlga_start:close_window.7|Извините я сейчас не могу говорить.
dlga_start:close_window.8|Извините я сейчас не могу говорить. 
dlga_start:close_window.9|Извините я сейчас не могу говорить.
dlga_start:conversation_companioncamp|--Вы находите компаньена в лагере.--
dlga_start:close_window.10|Я сейчас занят {playername}.Поговорим позже.
dlga_start:close_window.11|{reg59?Леди:Сер},на данный момент в стане сейчас все в порядке.
dlga_conversation_companioncamp:beda_conversationcamp1|Мои {reg59?леди:господин}, иногда я думаю, как мы путешествуем вдоль северных земель, о мрачном мире в котором мы живем. Я прочитал много книг, но ни одина из них не говорить о насилии, и о множестве опасностей, мы выдвигаемся через день.
dlga_beda_conversationcamp1:beda_conversationcamp2|Я думаю о датских ордах Гога и Магога, которые придут в последний час мира, и что царство Западной Саксонии является последним человеческим царством пытающемся бороться с неизбежным до Второго пришествия..
dlga_beda_conversationcamp2:beda_conversationcamp3|Э-э ... вы можете объяснить, кто такие Гог и Магог?
dlga_beda_conversationcamp2:close_window|Очень интересно, но к сожалению у меня нет времени на это. 
dlga_beda_conversationcamp3:beda_conversationcamp4|Ну, Библия упоминает Гога как вождя Орды, появившемся в землях Магог далеко на севере. В пророчестве Иезекииля Гог ведет огромную армию квалифицированных воинов из разных стран. Они будут нападать на род человеческий, избранный Богом, и будет великая битва, которая повлияет на весь мир. Я думаю, что это то, что происходит сейчас, все эти язычники сейчас проповедуют своюе ресь по всей Англии. 
dlga_beda_conversationcamp4:beda_conversationcamp5|{s10}
dlga_beda_conversationcamp4:beda_conversationcamp6|Мы должны сосредоточиться здесь и сейчас. Когда придет конец, уверяю вас, мы не упустим его.
dlga_beda_conversationcamp4:close_window|Вы слишком много переживаете насчет этого,у меня нет на это времени.
dlga_beda_conversationcamp6:close_window|Да, это правда. Я, как правило, слишком беспокоюсь об этом. Я буду наслаждаться каждым прожитым днем.
dlga_conversation_companioncamp:egil_conversationcamp1|{playername},я люблю тебя, но иногда мне кажется, что ты слишком наивен, как для лидера. Позволь мне дать тебе несколько советов.
dlga_egil_conversationcamp1:egil_conversationcamp2|Я не хочу вас обидеть, но думаю, вы должны воспользоваться моим опытом. Как вы знаете, я вырос в суде царя и потратил много времени в Рибе, где я встречал много полевых командиров и их командиров.
dlga_egil_conversationcamp2:egil_conversationcamp3|{s10}
dlga_egil_conversationcamp2:close_window|Я не нуждаюсь в ваших советах. 
dlga_egil_conversationcamp3:close_window|{s4}
dlga_conversation_companioncamp:donnachdh_conversationcamp1|Славный военачальник, вы должны знать, что я из Эриу и происхожу непосредственно из древних воинов. Даже моя мать происходила из старого героического клана Кухулин.
dlga_donnachdh_conversationcamp1:donnachdh_conversationcamp2|Эриу делится на мелкие кланы, которые сгруппированы в более мощные, формирующие царства, в течение пяти веков. Это очень важно для каждого клана, чтобы показать свою власть, и малые войны на это ведутся часто. Мы в основном боремся против соседних кланов, где соперничество стремится к процветанию, но во много раз больше кланы вести других к войнам между царствами, потому что самые важные люди на острове стремиться к престолу Тары. Будучи мастером Тара означает, что вы великий царь, Ард Ruire, всего Эриу, и это приносит много славы вашему клану.
dlga_donnachdh_conversationcamp2:donnachdh_conversationcamp3|Чем больше соперничеств, тем легче викингам.
dlga_donnachdh_conversationcamp2:donnachdh_conversationcamp3_2|Чем больше битв, тем закаленней становиться воин.
dlga_donnachdh_conversationcamp2:donnachdh_conversationcamp3_3|Кто то должен обЪединить все кланы.Может я...
dlga_donnachdh_conversationcamp2:close_window|Меня это мало интересует.
dlga_donnachdh_conversationcamp3:donnachdh_conversationcamp4|Я признаю, что викинги сумели стать сильным в некоторых частях острова, но они разделены. Это не редкость увидеть викинга сражавшегося бок о бок гойделы против других викингов. Цари Эриу взяли нанимают их в качестве наемников, и викинги часто служат в соперничающих кланами, которые сталкиваются друг с другом. 
dlga_donnachdh_conversationcamp3_2:donnachdh_conversationcamp4|Да, это правда. Война устраняет слабых и вынуждает людей больше обучаться искусству битвы. Определенно это хорошее место, чтобы нанять воинов для армии. Но если вы впутаетесь в Кельтскую политику или пытаетесь стать королем Тары, вы поймете, что остров имеет определенные политические традиции, и что бы вы не сделали сейчас когда-нибудь изменится в Эриу. 
dlga_donnachdh_conversationcamp3_3:donnachdh_conversationcamp4|Все мужчины и кланы жаждут трон Тары, но на самом деле вряд ли кто-то способен на нем усидеть. Те, кто пытаются как правило, долго не живут, потому что всегда есть кто то другой, из другого клана, и цикл продолжается бесконечно. Если трон Тары когда-либо будет вашим, может вам понравится так долго, как это возможно. Ваш клан будет известный и уважаемый, но ваша жизнь будет очень короткой. 
dlga_donnachdh_conversationcamp4:close_window|Конечно Эриу или Хиберния, как римляне называли его, разные земли. Забудьте все что вы знаете, Эриу разнообразен!
dlga_conversation_companioncamp:morgant_conversationcamp1|{reg59?Миледи:Сер}, в Cornubia мужчины умирают от голода. В прошлом, мы были гордые люди, и наши запасы производились в южной Британии. Когда саксы пришли, мы потеряли землю.
dlga_morgant_conversationcamp1:morgant_conversationcamp2|Теперь море приносит датский, как раньше это делал углы и саксов. Теперь, саксы боятся потерять эту землю они взяли от нас в датском языке. Разве это не судьба иронично?
dlga_morgant_conversationcamp2:morgant_conversationcamp3|Конечно, но не беспокоят меня саксы. Они потеряют то, что украли. 
dlga_morgant_conversationcamp2:morgant_conversationcamp3_2|Саксы сильны и будут сопротивляться датчанам.
dlga_morgant_conversationcamp2:close_window|У меня нет к этому интереса.
dlga_morgant_conversationcamp3:morgant_conversationcamp4|Это возможно. Может быть, у Бога есть чувство юмора или наши молитвы были услышаны и датский народ накажет саксов. Но кого это волнует? Британия теряет британцев.
dlga_morgant_conversationcamp3_2:morgant_conversationcamp4|Что вы имеете в виду, мы были слабы? Я думаю, что нет! Это правда, что мы были разобщены и не повезло с нашими царями, но Артур показал, что можно было победить саксов. Мы можем только сожалеть, что там не было ни одного нашего, чтобы забрать его наследие. Британия теперь потеряна для нас.
dlga_morgant_conversationcamp4:morgant_conversationcamp5|Британия будет возвращена британцам, клянусь я это сделаю. 
dlga_morgant_conversationcamp4:morgant_conversationcamp5_1|Забудьте о прошлом и сосредоточьтесь на настоящем.
dlga_morgant_conversationcamp5:close_window|Я высоко ценю ваши слова, но как мы знаем, что, даже если вы покорите весь остров Британии, сегодня у нее нет ничего общего с прошлым. Это не будет то же самое.
dlga_morgant_conversationcamp5_1:close_window|Да, вы правы. Существует мало смысла в возврате в прошлое. Вернемся в настоящее.
